BONTOK WORD,PART OF SPEECH,DEFINITION,PRONUNCIATION,ROOT,AFFIX ,MORPHOLOGICAL PHENOMENA,EXAMPLE SENTENCE,SENTENCE TRANSLATION,VARIATIONS,PLURAL FORM,NOTES,
khangsa,Noun,Another term for the falliwes victory dance.,/khang.sa/,khangsa,N/A,N/A,Da ya umili ya nangkhangsa isnan cañao.,The people performed the main victory dance at the feast.,N/A,N/A,Singular,khangsa
khapo,Conjunction,Since; a participle introducing circumstances clauses,/kha.po/,khapo,N/A,N/A,Ngag nan khapo aped ka ninkagtusa?,What is the reason why are you like that?,gapo,N/A,Coordinating Conjunctions,khapo
khasat,Adjective,An alternative word for gasat (to have a good fortune),/kha.sat/,khasat,N/A,N/A,Igka pet nakhasat.,You are a very lucky person.,gasat,N/A,Positive Adjective,khasat
khechang,Noun,The act of crossing a river.,/khe.tsáng/,khechang,N/A,N/A,Naedak nan khechang isnan wangwang ta maid ay naiyew.,I watched the river crossing so that no one would drown.,N/A,N/A,"Common Noun
Abstract Noun
Uncountable Noun                          Singular Noun",khechang
khinaeb,Verb,To make; to build; to construct,/khi.na.eb/,kaeb,-in,Infixation,Khinaeb mu ngen sa?,Did you make that?,ginaeb,N/A,Present Tense,khinaeb
khiyag,Noun,A plate,/kyag/,khiyag,N/A,N/A,In-takda da nan bugas ay in-angan nan khiyag.,They served the cooked rice from the khiyag.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",khiyag
khomwab,Verb,To go below; down,/khom.wab/,gowab,-om-,Infixation,Khomwab ka sa ta adi ka mekyag.,Go down so you will not fall.,N/A,N/A,Present Tense,khomwab
khotok,Noun,Purpose; reason,/kho.tok/,khoto,-k,Suffixation,Ngag khotok sisa?,Wha do I care about that?,ngatok,N/A,Abstract Noun,khotok
khyag,Noun,A rattan tray; a food tray used for ceremonial purposes.,/khyag/,khyag,N/A,N/A,yayag nan khyag.,Bring out the rattan tray,N/A,N/A,Singular,khyag
Kidla-a,Noun,Previous name of Barangay Samoki in Bontoc,/kid.la.a/,Kidla-a,N/A,N/A,Laydek ay umey ad Kidla-a.,I would like to visit Kidla-a.,N/A,N/A,Proper Noun,kidla-a
kimata,Noun,"Twin woven baskets connected by a pole, carried on the shoulders by men.",/ki/ma.ta/,kimata,N/A,N/A,Insakdat nan lallaki nan kimata.,The man carried the twin baskets on his shoulder.,N/A,N/A,Singular,kimata
kinaeb,Verb,Made; built,/ki.na.eb/,kaeb,-in-,Infixation,"Afusko kinaeb nan fachom
issan inumchanan nan so- latmo,",I had already made your coat whenyour letter came. ,ginaeb,N/A,Past Tense,kinaeb
kinafaknang,Noun,the state of being rich,/ki.na.fak.nang/,faknang,kina-,Prefixation,Nan kinafaknang cha ya maila isnan angsan ay payew cha.,Their wealth can be seen in the many rice fields.,kinabaknang,N/A,"Common Noun
Abstract Noun
Uncountable Noun",kinafaknang
kinan,Verb,Ate.,/ki.nan/,kinan,N/A,N/A,Kinan mi nan makan.,We ate the cooked rice.,N/A,N/A,"Past Tense, First Person POV, Common Singular Noun",kinan
kinmaan,Verb,To remove; to go away; to leave; to take away,/kin.ma.an/,kaan,-in-,Infixation,Kinmaan si dadik tay insusunget.,My father left because he was angry.,N/A,N/A,Present Tense,kinmaan
kinmapsut,Verb,Was weakened,/kin.map.sut/,kapsut,kinma-,Prefixation,Kinmapsut nan ina gapu isnan chakchaki ay trabahona.,The mother was weakened because of too much work.,N/A,N/A,Past Tense,kinmapsut
kis-ed,Verb,"To attend a pig sacrifice, in order to share in the distribution of meat, of the old men",/kis.ed/,seed,N/A,N/A,Adi makis-ed tay omnel.,"He is not going to attend the pig sacrifice, because he is shy.",N/A,N/A,Future tense,kis-ed
kiug,Noun,A food tray used only for ceremonial purposes.,/kyug/,kiug,N/A,N/A,Iyayag da nan kiug sinan mangmang.,They brought out the ceremonial food tray for the ritual.,N/A,N/A,Singular,kiug
koma,Particle,A particle that makes the clause in which it occurs a condition for something desirable; should.,/ko.má/,koma,N/A,N/A,Omáli koma sisya.,It would be good if he were to come.,N/A,N/A,,koma
komekedse,Verb,"To stay strong; to remain resilient physically, mentally, or emotionally",/ko.me.ked.se/,kedse,kome-,Prefixation,Ilam ta komekedse ka.,You should stay strong.,N/A,N/A,Present Tense,komekedse
kongo,Noun,A pit house for pigs.,/ko.ngo/,kongo,N/A,N/A,Waday nan fotog ad kongo.,The pig is in its pit house.,N/A,N/A,Singular,kongo
kongoan,Noun,A pit house for pigs.,/ko.ngo.an/,kongo,-an,Suffixation,Aramiden cha nan kongoan ischi.,They will build the pit house for pigs there.,N/A,N/A,Singular,kongoan
koweng,Noun,"Ear; the lug of jar, to whicha handle can be attached",/ku.weng/,koweng,N/A,N/A,Pinaltikak nan kuweng na.,I flicked his ears.,koleng,N/A,"Common Noun
Concrete Noun
Countable Noun",koweng
kudya,Noun,Rice-pounding songs.,/kud.ya/,kudya,N/A,N/A,Nan ina ko ay inkudya isnan payew.,My mother sang a rice-pounding song in the fields.,N/A,N/A,Plural,kudya
kuling,Noun, A large bird; a stepson transformed into a bird in a folktale.,/ku.ling/,kuling,N/A,N/A,In-ilak nan kuling., I saw the large bird.,N/A,N/A,Singular,kuling
kullitong,Noun,A bamboo-tube zither that simulates flat gong music.,/kul.li.tong/,kullitong,N/A,N/A,Mangngalangala nan ub-ubbing nan kullitong.,The child is playing the bamboo zither.,N/A,N/A,Singular,kullitong
kwab,Preposition,Below; Under,/kwab/,kwab,N/A,N/A,Isnan kwab nan kama.,Under the bed.,gwab,N/A,Preposition of Place,kwab
kwak,Pronoun,Mine; Possession,/ku-wak/,kwak,N/A,N/A,Kwak na.,This is mine.,N/A,N/A,Possessive pronoun,kwak
kwel-la,Noun,Rice-pounding songs.,/kwel.la/,kwel-la,N/A,N/A,Nadsugpon nan fafayi isnan kwel-la.,The women joined together in a rice-pounding song.,N/A,N/A,Plural,kwel-la
lagsak,Adjective,Happy,/lag.sak/,lagsak,N/A,N/A,Iyalim nan lagsak.,Bring joy.,ragsak,N/A,"Descriptive Adjective
Positive Degree",lagsak
lagsak,Noun,Happiness.,/lag.sak/,lagsak,N/A,N/A,Nalagsak tako ta inmali nan bisita.,I am happy because the visitors came.,N/A,N/A,"Common Noun
Abstract Noun
Uncountable Noun",lagsak
lagyet,Adjective,To drizzle,/la.gyet/,lagyet,N/A,N/A,Olay iyam-ammayo tay as laglagyot yaanggay nan odan.,"You can just go slowly, because it will only be a light rain. ",N/A,N/A,"Descriptive Adjective 
Positive Degree",lagyet
lamoram,Noun,Communal property; land for common village use.,/la.mo.ram/,lamoram,N/A,N/A,Nan lamoram nan pagtrabahuan nan omi-ili.,The lamoram is the communal land worked by the villagers.,N/A,N/A,Singular,lamoram
lamsit,Noun,"Sweetness, as of the taste of sugarcane juice.",/lam.sit/,lamsit,N/A,N/A,Naka-an nan lamsit nan ófi tay ed-edcha nan chanomna.,The sweetness of the sweet potato is removed because (it is cooked in) too much water.,N/A,N/A,"Common Noun
Abstract Noun
Uncountable Noun                          Singular Noun",lamsit
langtay,Noun,A large road bridge.,/lang.tay/,langtay,N/A,N/A,Ad langtay nan inmayak.,I went to the bridge.,rangtay,N/A,"Common Noun
Concrete Noun
Countable Noun",langtay
lateng,Noun,Cold,/la.teŋ/,lateng,N/A,N/A,Inlateng adwani.,It is cold today.,N/A,N/A,"Common Noun
Abstract Noun
Uncountable Noun                          Singular Noun",lateng
lavfa,Noun,"An open, square or round, slim and deep basket for women; the counterpart of the kimata.",/lav.fa/,lavfa,N/A,N/A,Iyawid nan bai nan lavfa.,The woman brought the open basket.,N/A,N/A,Singular,lavfa
lawa,Adjective,"Bad, inappropriate, wrong",/la.wa/,lawa,N/A,N/A,Lawa chi.,That is bad.,N/A,N/A,"Descriptive Adjective
Positive Degree",lawa
lawa,Noun,The poor class.,/la.wa/,lawa,N/A,N/A,Nan lawa nan adi makapan-ala sin chono.,The poor are those who cannot host a chono feast.,N/A,N/A,Singular,lawa
layad,Verb,"To want ;
to like ; to desire ; to love ;",/la.yad/,layad,N/A,N/A,Maid karpasan na san layad ko ken sik-a.,There is no ending in my love for you.,N/A,N/A,Present Tense,layad
laychena,Verb,He/she likes / wants / desires,/lay.tse.na/,layden + na,N/A,Derivation,Laychena ay ilaen nan parade.,He wants to watch the parade.,N/A,N/A,Present Tense,laychena
laydem,Verb,You like; you want; you love (directed at the listener in 2nd person point of view),/lay.dem/,layad,-em,Suffixation,Laydem ngen ay umey ad Sagada?,Do you want to go to Sagada?,N/A,N/A,Present Tense,laydem
layus,Verb,To flow; to be carried by current,/la.yus/,layus,N/A,N/A,Layus nan chanum ad wanga.,The water flows in the river.,N/A,N/A,Present Tense,layus
lebnayen,Verb,To reminisce; to recall past events or memories,/leb.na.yen/,lebnay,-en,Suffixation,Lebnayen nan kakadwak nan anuchi da.,My friends reminisced their events with their siblings.,N/A,N/A,Present Tense,lebnayen
leng-ag,Noun,Conscience,/leng.ag/,leng-ag,N/A,N/A,Maid leng-ag Tomas ay mangpakaan ken ikit na ad afong cha.,Tomas has no conscience when he sent away his grandparent from their house.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",leng-ag
leng-agmo,Noun,Your feelings; breath; emotion; spirit; life.,"/leng,ag.mo/","leng-ag, mo",N/A,Incorporation,Aywanam nan leng-agmo ta adi ka madadael.,Take care of your spirit so you won’t be harmed.,N/A,N/A,Common Singular Noun,leng-agmo
lengleng,Verb,To grip and twist someone's nose.,/leng.leng/,lengleng,N/A,N/A,N/A,N/A,N/A,N/A,Original Word,lengleng
lesles,Verb,To roll up; To fold back,/les.les/,lesles,N/A,N/A,Leslesem nan badom ta adi mab-el.,Fold your dress back so it doesn't get wet.,N/A,N/A,Present Tense,lesles
liblo,Noun,Book,/lib.lo/,liblo,N/A,N?A,Adim iwasit nan liblo ay sana.,Don't throw away that book.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun                          Singular Noun",liblo
lichungan,Verb,To forget something,/li.chu.ngan/,lichong,-an,Suffixation,Na lichungak ay alan nan iD'k.,I forgot to get my ID.,lidongan,N/A,Present Tense,lichungan
lidong,Verb,To forget something,/li.dong/,lidong,N/A,N/A,N/A,N/A,lichong,N/A,Original Word,lidong
lifoo,Noun,Clouds,/li.fo/,lifoo,N/A,N/A,"Angsan nan lifoo ay et kasin
enochan.",There are many clouds as if it might rain.,N/A,N/A,Singular,lifoo
lig-o,Noun,A winnowing basket.,/lig.o/,lig-o,N/A,N/A,Inyey da nan lig-o sidi.,They put the winnowing basket over there.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",lig-o
ligwat,Verb,Start,/lig.wat/,ligwat,N/A,N/A,Naligwatak ay umey ad Fanawo et lumayaw nan kafayok.,I had just started to go to Banawe when my horse ranaway.,N/A,N/A,Past Tense,ligwat
likat,Adjective,To be difficult; hard to accomplish.,/li.kat/,ligat,N/A,N/A,Nalikat nan project ay nay.,This project is so hard.,ligat,N/A,Positive Adjective,likat
likatan,Verb,To be difficult; hard to accomplish.,/li.ka.tan/,likat,-an,Suffixation,Inlikatan na nan assignment na.,He worked hard for his assignment.,N/A,N/A,Present Tense,likatan
lilwidko,Noun,My friend,/lil.wid.ko/,"lilwid, ko",N/A,Incorporation,Nen-inila kami ken liwidko ad oskila-an.,I met my friend at school.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun                          Singular Noun",lilwidko
lima,Numerical,Five,/li.má/,lima,N/A,N/A,Wa-day limá ay aso.,There are five dogs.,N/A,N/A,Positive Adjective,lima
liwid,Noun,Companion,/li.wid/,liwid,N/A,N/A,Nan liwid ko ya immali enan balay.,My visiting companion came to the house.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",liwid
lofong,Noun,World; universe,/lo.fong/,lofong,N/A,N/A,Angsan nan katakho-takho isnan lofong.,There are many people in the world.,lobong,N/A,"Common Noun
Singular Noun                                                                                          ",lofong
lokhit,Noun,Dirty,/lo.khit/,lokhit,N/A,N/A,Chalusam nan lokhit mo.,Clean up your garbage.,logit,N/A,"Common Noun
Concrete Noun
Uncountable Noun",lokhit
lomamag,Verb,To ascend; to rise; to go up.,/lo.má.mag/,lomamag,N/A,N/A,Lomámag da.,They are going up.,N/A,N/A,Present Tense,lomamag
lomanen,Verb,To reinstate or renew a previous situation that has changed.,/lo.ma.nen/,loman,-en,Suffixation,Naay as lomanek ay mangitetteel an tosa.,Now I will once again take care of her as I used to.,N/A,N/A,Present Tense,lomanen
lopis,Noun,A grand marriage feast held about five years after the karang.,/lo.pis/,lopis,N/A,N/A,Wad-ay lopis insakbay nan karang.,There was a grand marriage feast feast after the karang.,N/A,N/A,Singular,lopis
lota,Noun,Earth; soil,/lo.ta/,lota,N/A,N/A,Aywanam nan lota ay sana.,Take care of that soil over there.,N/A,N/A,"Common Noun
Concrete Noun
Uncountable Noun",lota
luchen,Noun,A container jar that is primarily used for storing salted meat. ,,luchen,N/A,N/A,Inyali cha nan luchen ay waday ad afong.,They brought the jar that is in the house.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",luchen
lugan,Noun,A vehicle,/lu.gan/,logan,N/A,N/A,Adik lugan sa.,That is not my car.,lukhan,N/A,"Common Noun
Concrete Noun
Countable Noun                          Singular Noun",lugan
lugkitan,Verb,To make something dirty; to cause to become unclean,/lug.ki.tan/,logit,-an,Suffixation,Adim ages lugkitan nan sapatos ko.,Don't dirty my shoes again.,N/A,N/A,Present Tense,lugkitan
lukan,Noun,Vehicle; car,/lu.kan/,lukan,N/A,N/A,Inmey da ad lukan.,They went by car.,lugan,N/A,"Common Noun
Concrete Noun
Countable Noun",lukan
lukmog,Noun,Cooked sweet potato,/luk.mog/,lokmog,N/A,N/A,Laydek nan lukmog ay inuton inak.,I want the sweet potato that my mother cooked.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",lukmog
Lumawig,Noun,cultural hero of the Bontok Igorot,/Lu.ma.wig/,Lumawig,N/A,N/A,Si Lumawig ay inmali sin daga.,Lumawig came to earth.,N/A,N/A,Proper Noun,lumawig
ma-,Prefix,Stative prefix that marks noncompletive voice and can subjectivize the patient of some verbs.,/ma/,N/A,ma-,N/A,As mabáigka mo maoyóngka.,You will be beaten if you are naughty.,N/A,N/A,,ma-
ma-,Prefix,"Aptative prefix used with non-completive, non-agentive voice affixes.",/ma/,N/A,ma-,N/A,Maílak nan liblo.,I can see the book.,N/A,N/A,,ma-
ma-ang-angnen,Verb,On the process of doing or happening,/ma.ang.ang.nen/,angnen,"ma-, -ang-","Prefixation, Reduplication",Angan nan ma-ang-angnen ad Plaza.,There is a lot happening at plaza.,N/A,N/A,Present Tense,ma-ang-angnen
ma-id ,Verb,There is none. A negative existential.,/ma.id/,ma-id,N/A,N/A,Ma-id inala na ay makakan.,He did not get any food.,N/A,N/A,Auxiliary Verb,ma-id
ma-ikari,Adjective,To be Worthy,/ma.i.ka.ri/,ikari,N/A,N/A,Ma-ikari nan ubing ay maawat isnan gantia.,The child is worthy to receive the reward.,N/A,N/A,Positive,ma-ikari
ma-imemchengan,Verb,To recover consciousness.,/ma.i.mem.tse.ŋán/,memcheng,"ma-, -an",Circumfixation,Awni ta ma-imemchengan esátakot ekwáten.,Awni ta ma-imemchengan esátakot ekwáten.,N/A,N/A,Future Tense,ma-imemchengan
maag,Verb,"To do something suddenly, energetically or fast; to go to an extreme.",/ma.ag/,maag,,,Adim imamaag ay manalan ta adi magingal nan sikim.,"Don't walk so fast, so the wound on your leg doesn't bleed again.",N/A,N/A,Present Tense,maag
maaknotan,Verb,"To tear with the teeth, as tough meat",/ma.ak.no.tan/,aknot,"ma-, -an",Circumfixation,Belas si maaknotan tay olat.,"It is hard to tear with the teeth, because it is all tendons.",N/A,N/A,Present Tense,maaknotan
maal-alawit,Verb,"To be fickle or easygoing; to follow anyone who happens along, of a dog which does not have a strong allegiance to its master.",/ma.al.a.lá.wit/,alawit,maal-,"Reduplication, Prefixation",Adika gawis si ib-a ay in-obbo tay kanegka aso ay ig maal-alawit sinan teken mo awisenda sik-a.,"You are not good as member of a working group, because you go along with others, like a dog, when they persuade you.",N/A,N/A,Present Tense,maal-alawit
maal-aliweng,Verb,Dizzy,/ma.al.a.li.weng/,aliweng,ma-,"Reduplication, Prefixation",Maal-aliweng tay naboteng.,"He is dizzy, because he is drunk.",N/A,N/A,Present Tense,maal-aliweng
maalawig,Verb,A ceremony performed before visitors are allowed to enter teh village to attend a wedding ceremony; to perform this ceremony.,/ma.a.lá.wig/,alawig,ma-,Prefixation,"Ilaenyo ta maalawig ona am-in nan mangili, sada somaal sinan babaley.",Make sure the ceremony is performed before the outsiders enter the village.,N/A,N/A,Past Tense,maalawig
maalmet,Verb,"To be captious, naughtm hard to get along with; to be brave, obstinant or resistant.",/ma.al.met/,almet,ma-,Prefixation,Ngaag nan igta maalmet sinan ib-a.,It's bad to be hard to get along with.,N/A,N/A,Present Tense,maalmet
maaloy,Verb,To be shaded.,/ma.a.loy/,aloy,ma-,Prefixation,Nan maaloy nan somya.,The shaded area is preferable.,N/A,N/A,Past Tense,maaloy
maamas,Verb,To dissolve; to use up; to melt; to disappear; to erase; to deface; to lose,/ma.a.mas/,amas,ma-,Prefixation,Aped maamas nan nowangmid Bilgaya.,Our water bufallo at Bilgaya just disappeared.,N/A,N/A,Past Tense,maamas
maamey,Verb,"To break up; to smash, as rocks; to rip up, of clothes; to pound pigfood.",/ma.a.mey/,amey,ma-,Prefixation,Temlem ay gawis nan kanen nan botog ta maamey.,Squeeze the pig's food properly between you fingers so it will be smashed.,N/A,N/A,Present Tense,maamey
maanap,Verb,"To look for; to find , of something that has been lost.",/ma.a.nap/,anap,ma-,Prefixation,Adik maanap nan wallet ko.,I cannot find my wallet.,N/A,N/A,Present Tense,maanap
maanapan,Verb,The place where something can be found; that which is found,/ma.a.na.pan/,anap,"ma-, -an",Circumfixation,Adik maanapan nan dam kanan.,I cannot find what you are saying.,N/A,N/A,Present Tense,maanapan
maanggay,Verb,To finish; to use up.,/ma.ang.gay/,anggay,ma-,Prefixation,Adi maanggay nan madno.,Work never ends.,N/A,N/A,Present Tense,maanggay
maangnen,Verb,Did not do,/ma.ang.nen/,angnen,ma-,Prefixation,"Igai-ko pinaat ai angnen sa or, maangnen.",I did not mean to do so.,N/A,N/A,Past Tense,maangnen
maanusan,Verb,"To bear with someone (Nom); to have patience with somone (Nom); to put up with a situation (Nom).
",/ma.a.nu.san/,anos,"ma-, -an",Circumfixation,Maanusan tako nan napudot idi dap-ay.,We are putting up with the heat at the men’s house.,N/A,N/A,"Present Tense, First Person POV, Common Singular Noun",maanusan
machachaer,Verb,To be destroyed; to be broken; to be ruined.,/ma.cha.cha.er/,dael,ma-,"Reduplication, Prefixation",Machachaer nan afong da.,Their house will be destroyed.,madadael; madadaer,N/A,Future Tense,machachaer
machad-ayaw,Verb,To honor; to priase; to worship,/ma.chad.a.yaw/,dayaw,ma-,Prefixation,Nakhan mo Chios Ama nan machad-ayaw edwani.,Lord God is the one who we should worship nowadays.,madadayaw,N/A,Present Tense,machad-ayaw
madngek,Verb,Can Hear (First person POV),/mad.ngek/,denge,"ma-, -k",Suffixation,Madngek nan chacha kanan.,I can hear what they are saying.,N/A,N/A,Present Tense,madngek
maerwas,Noun, A gong in the gangsa pattung that plays patterns combining ringing and dampened sounds.,/ma.er.was/,maerwas,N/A,N/A,Nan maerwas ay agdengdengnan isnan pattung.,The patterned gong is sounding in the ensemble.,N/A,N/A,Singular,maerwas
maesang,Adjective,In the state of being alone; solitary,/ma.e.sang/,esang,ma-,Prefixation,Kag sia maesang sidi.,She looks lonely.,N/A,N/A,Descriptive Adjective,maesang
mafain,Verb,To be shy; timid,/ma.fa.in/,fain,ma-,Prefixation,Mafain ak ay umala si kaat.,I am shy to get too much.,mabain,N/A,Present Tense,mafain
mafikas,Adjective,To be energetic; to be industrious,/ma.fi.kas/,fikas,ma-,Prefixation,Mafíkas siya ngem ig nangíng,She is industrious but she is a complainer.,N/A,N/A,"Descriptive Adjective
Positive Degree",mafikas
mafub-uya,Verb,"To view; to look at; to watch (pictures, displat, etc).",/ma.fub.u.ya/,boya,ma-,Prefixation,Kagawis mafub-uya nan sala cha.,Their dance is nice to watch.,N/A,N/A,Present Tense,mafub-uya
mag-an,Verb ,"To dry, as clothes or a wet trail, but not of plants.",/mag.an/,maga,-n,Prefixation,Namaganan nan chalan anono.,The trail is dry at last.,N/A,N/A,Present Tense,mag-an
maga,Verb ,"To dry, as clothes or a wet trail, but not of plants.",/ma.ga/,maga,,,Daan kamagaan nan badom.,Your clothes are not yet dry. ,N/A,N/A,Present Tense,maga
Magmagkit,Noun,A young woman; an unmarried woman; a woman who has not had a child.,/mag.mag.kit/,magkit,N/A,Reduplication,Nailam nandey mamagkit sidi?,Did you see the young women there?,N/A,N/A,Singular,magmagkit
magtek,Participle,"A participle indicating agreement with a preceding comment. It implies that the information given is known to the speaker, or is common knowledge, and that the speaker is in sympathy with the point of view of the hearer.",/mag.tek/,magtek,N/A,N/A,"Siya magtek di nan ibaga, ta adi ta inbonget.","That's just what you should say, so you won't get angry.",N/A,N/A,,magtek
maid,Pronoun,None; there is none ,/ma.id/,maid,N/A,N/A,"Iniskipko nan finayo, ta maid maiwasit.",I took in the rice so that none should be spilled.,N/A,N/A,,maid
maifilang,Verb,To be counted.,/ma.i.fi.lang/,filang,mai-,Prefixation,Maifilang et amin a libro idi estante.,All the books on the shelf are counted.,maibilang,N/A,"Past Tense, Third Person POV",maifilang
mail-ila,Adjective,visible,/ma.il.i.la/,ila,ma-,"Prefixation, Reduplication",Mayat mail-ila nan fuwan idwani.,The moon can be seen tonight.,N/A,N/A,Positive Adjective,mail-ila
mailak,Verb,See,/ma.i.lak/,ila,"ma-, k",Circumfixation,Mailak kuma si Juan.,I hope I will see Juan.,N/A,N/A,Future Tense,mailak
mailako,Adjective,On sale,/ma.i.la.ku/,lako,mai-,Prefixation,Nan falat ay mailako.,The bananas are on sale.,N/A,N/A,Stative,mailako
maimula,Verb,To be planted; suitable for planting,/ma.i.mula/,mola,mai-,Prefixation,Enka alan nan lokis ta maimula is awni.,Go and get the orange for it to be planted later.,N/A,N/A,Future Tense,maimula
maitatakcho,Verb,To be sitted,/ma.i.ta.tak.cho/,takcho,maita-,Prefixation,Maitatakcho nan ongang-a isnan afong ay chachani ay umali si ama.,The children are sitting in the house while waiting for their father to come.,N/A,N/A,Past Tense,maitatakcho
maiwag,Noun,A song sung by men in a semicircle with arms around shoulders at the chono.,/ma.i.wag/,maiwag,N/A,N/A,Nan maiwag ay in-usar isnan ritwal.,The ceremonial chant was used in the ritual.,N/A,N/A,Singular,maiwag
maka-,Prefix,Aptative prefix occurring with non- completive agentive voice affixes.,/ma.ka/,N/A,maka-,N/A,Ay makaeyka?,Are you able to go?,N/A,N/A,Aptative,maka-
makaamo,Verb,To know; to understand; to be aware.,/ma.ka.a.mo/,ammo,maka-,Prefixation,Makaamo ka nan istorya.,You will know the story.,N/A,N/A,Future Tense,makaamo
makan,Noun,Food,/ma.kan/,makan,N/A,N/A,Cha-na akalan nan makan.,He is crying for rice.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",makan
makasolo,Verb,To learn; to gain knowledge or understanding,/ma.ka.so.lo/,solo,maka-,Prefixation,Laydek ay makasolo.,I would like to learn.,N/A,N/A,Present Tense,makasolo
makatulong,Adjective,To be of help,/ma.ka.tu.long/,tulong,maka-,Prefixation,Nan adal isnan eskwuela ket makatulong isnan fiag nan un-unga.,Education in school is helpful for the lives of children.,N/A,N/A,Descriptive Adjective,makatulong
maki-among,Verb,To assemble; to gather; to bring together in a group,/maki.a.mong/,among,maki-,Prefixation,Amongem nan sanada talaka ta satakot somaal.,Gather together those head baskets so we can go home.,N/A,N/A,Present Tense,maki-among
makiogfo,Verb,To join a tradition communal work group and help in the fields of each member in turn,/ma.ki.og.fo/,ogbo,maki-,Prefixation,Entako makiogfo sidi.,Let's help them there.,makiogbo,N/A,Present Tense,makiogfo
malagsakan,Adjective,To be happy,/ma.lag.sa.kan/,lagsak,ma-,Prefixation,Malagsakan si amam nu sumaa ka.,Your father will be happy if you come home.,N/A,N/A,Future Tense,malagsakan
malichongan,Verb,To forget something,/ma.li.chong.an/,lidong,"ma-, -an",Circumfixation,Adik malichungan nan nangyare adwani.,I will forget this happened.,malidongan,N/A,Future Tense,malichongan
mam-an,Verb ,To calm down; to become quiet.,/mam.an/,mam-an,N/A,N/A,Imamanyo ta lomaos ona nan bosol.,Quieten down till the enemies pass by. ,N/A,N/A,Present Tense,mam-an
mamachang,Verb,To help; to be helping (ongoing or habitual action),/ma.ma.chang/,fachang,ma-,Prefixation,Mamachang cha isawni.,They will help later.,mamadang,N/A,Present Tense,mamachang
mamatey,Verb,Feeling like dying; overwhelmed as if one is dying,/ma.ma.tey/,matey,N/A,Reduplication,Kag ka mamatey ay.,It's like you're about to die.,N/A,N/A,Future Tense,mamatey
mamoknag,Verb,Go to fields.,/ma-mok-nag/,moknag,ma-,Prefixation,Ay mamoknag ka si awni?,Are you going to the fields later?,N/A,N/A,Future Tense,mamoknag
mampay,Verb,To agree; Show assent,/mam.pay/,ampay,m-,Prefixation,"Mampay, inbaag mut ya sa.","Yes, you already said that.",N/A,N/A,Present Tense,mampay
man,Particle,"A particle which implies
solidarity with the addressee",/man/,man,N/A,N/A,Umala ka man si tinapay ya kapi.,Please get a bread and coffee.,N/A,N/A,N/A,man
managfasur,Noun,Sinners,/ma.nag.fa.sur/,basol,manag-,Prefixation,Tay managfasur kami.,Because we are sinners.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun                          Plural Noun",managfasur
manaing,Noun,A group prayer asking Lumawig for rain.,/ma.na.ing/,naing,ma-,Prefixation,Manaing cha ken Lumawig.,They pray to Lumawig ,N/A,N/A,Singular,manaing
manayeng,Noun, A group prayer asking Lumawig for rain.,/ma.na.yeng/,manayeng,N/A,N/A,Mangmanayeng da ta umudan.,They are praying together for rain.,N/A,N/A,Singular,manayeng
manerwap,Noun,"A ritual to ""call the rain.""",/ma.ner.wap/,nerwap,ma-,Prefixation,Ay manerwap kayo is awni?,Are you going to call the rain later?,N/A,N/A,Singular,manerwap
mang-ey,Advereb,Whenever.,/mang.ey/,mang-ey,N/A,N/A,Ig mang-ey en siya.,Whenever (it happens) it' s always him. ,N/A,N/A,Time,mang-ey
mang-ey,Auxiliary,Surely ; definitely.,/mang.ey/,mang-ey,N/A,N/A,As mang-eyt ako omey.,We will have to go.,N/A,N/A,Degree,mang-ey
manga-ew,Verb,Get wood to the mountain,/ma.nga.ew/,akew,mang-,Prefixation,Inmey eht sia nanga-ew.,He already went to get woods to the mountain.,N/A,N/A,Present Tense,manga-ew
mangabaney,Verb,To plant or gather this sugarcane.,/mang.a.bá.ney/,abaney,mang-,Prefixation,Satakot mangabaney si wakas.,Let us gather sugarcane tomorrow.,N/A,N/A,Future Tense,mangabaney
mangabang,Noun,The amount of rent one pays.,/ma.ngá.bang/,mangabang,N/A,N/A,N/A,N/A,N/A,N/A,,mangabang
mangabangyo,Noun,The amount of rent one pays.,/ma.ngá.bang.yo/,mangabang,mang-,Prefixation,Kaat nan mangabangyo?,How much rent do you pay?,N/A,N/A,,mangabangyo
mangakew,Verb,To steal from a house when the residents are out.,/mang.a.kew/,akew,mang-,Prefixation,Ngaag nan mangakew ta tay domosas Apodyos.,It's bad to steal because God punishes it,N/A,N/A,Future Tense,mangakew
mangalkos,Verb,To dress up; to decorate,/mang.al.kos/,alkos,mang-,Prefixation,Mangalkos tay madkatdad Mainit.,She dressed up because they were invited to Mainit's wedding ceremony.,N/A,N/A,Past Tense,mangalkos
