word,meaning,translation,source,morphology,root,processes,type,meaning,partial chunk,form,normalized_form
inóñg,term of address used to a boy playmate whose name etc. is unknown to speaker (not used by adults),boy,Dictionary I,"{""root"":""nóñg"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",nóñg,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,inong
inót,to do slowly or by degrees; consume something slowly (man-),savor,Dictionary I,"{""root"":""nót"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",nót,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,inot
inútil,"disabled, useless",useless,Dictionary I,"{""root"":""nútil"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",nútil,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,inutil
insán,"then, next",next,Dictionary I,"{""root"":""nsán"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",nsán,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,insan
insúlto,"insult, to insult (man -)",insult,Dictionary I,"{""root"":""nsúl"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""},{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}]}",nsúl,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""},{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,insulto
inspiración,inspiration,inspiration,Dictionary I,"{""root"":""nspiración"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",nspiración,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,inspiracion
intEligÉntE /intElihÉntE/,intelligent,intelligent,Dictionary I,"{""root"":""ntEligÉntE /tElihÉntE/"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""},{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":12}]}",ntEligÉntE /tElihÉntE/,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""},{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":12}",prefix,theme/goal or benefactive focus (non-completed),-,i-,inteligente /intelihente/
intErmÉdia,intermediate,intermediate,Dictionary I,"{""root"":""ntErmÉdia"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",ntErmÉdia,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,intermedia
"intsík, inchík",Chinese,chinese,Dictionary I,"{""root"":""ntsík, chík"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""},{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":7}]}","ntsík, chík","{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""},{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":7}",prefix,theme/goal or benefactive focus (non-completed),-,i-,"intsik, inchik"
iñgál,"noise, shouting, altercation; to make noise, shout (on -)",yell,Dictionary I,"{""root"":""ñgál"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",ñgál,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,ingal
maiñgál,"rowdy, excessively noisy",crass,Dictionary I,"{""root"":""ñgál"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""""},{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",ñgál,"{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""""},{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",nasal_prefix,"actor focus (nasal-assimilating, non-completed)",-,maN-,maingal
iñgás,hard breathing; be out of breath (on -),pant,Dictionary I,"{""root"":""ñgás"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",ñgás,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,ingas
iñgát,toothpick; to pick one’s teeth (man -),toothpick,Dictionary I,"{""root"":""ñgát"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",ñgát,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,ingat
iñgén,"but, moreover",however,Dictionary I,"{""root"":""ñgén"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",ñgén,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,ingen
iñgét,narrow,narrow,Dictionary I,"{""root"":""ñgét"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",ñgét,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,inget
IñglatÉrra,England,England,Dictionary I,"{""root"":""ñglatÉrra"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",ñglatÉrra,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,inglaterra
iñglÉs,English (person or language),English,Dictionary I,"{""root"":""ñglÉs"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",ñglÉs,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,ingles
íñglét,cruel,cruel,Dictionary I,"{""root"":""íñglét"",""processes"":[]}",íñglét,-,-,-,-,-,inglet
1iñgóñgot,"annoyance, anger",irritation,Dictionary I,"{""root"":""1iñgóñgotannoyance"",""processes"":[]}",1iñgóñgotannoyance,-,-,-,-,-,1ingongotannoyance
2iñgóñgot,"wish, hope",hope,Dictionary I,"{""root"":""2iñgóñgotwish"",""processes"":[]}",2iñgóñgotwish,-,-,-,-,-,2ingongotwish
ípag,sister-in-law,sister-in-law,Dictionary I,"{""root"":""ípag"",""processes"":[]}",ípag,-,-,-,-,-,ipag
ipét,tightness; become tight (on -),tense,Dictionary I,"{""root"":""pét"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",pét,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,ipet
ipíl,shrubby variety of acacia,ipil,Dictionary I,"{""root"":""píl"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",píl,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,ipil
ipón,very small fish often made into inasín,anchovy,Dictionary I,"{""root"":""pón"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",pón,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,ipon
irá,see da,they,Dictionary I,"{""root"":""rá"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",rá,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,ira
írap,"hardships, torment; be difficult (on -); suffer (man -)",trial,Dictionary I,"{""root"":""írap"",""processes"":[]}",írap,-,-,-,-,-,irap
maírap,"difficult, hard (emotionally)",difficult,Dictionary I,"{""root"":""írap"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""""}]}",írap,"{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""""}",nasal_prefix,"actor focus (nasal-assimilating, non-completed)",-,maN-,mairap
mamaírap,the poor,poor,Dictionary I,"{""root"":""írap"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""m""},{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, completed)"",""form"":""aN-"",""normalized_form"":""a"",""applied_allomorph"":""""}]}",írap,"{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""m""},{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, completed)"",""form"":""aN-"",""normalized_form"":""a"",""applied_allomorph"":""""}",nasal_prefix,"actor focus (nasal-assimilating, non-completed)",-,maN-,mamairap
irí,"indecision, restlessness, vacillation",hesitation,Dictionary I,"{""root"":""rí"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",rí,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,iri
iróg,gold which is dirty or impure; dress with garish colors,tinsel,Dictionary I,"{""root"":""róg"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",róg,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,irog
iróñg,to sit (on -),sit,Dictionary I,"{""root"":""róñg"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",róñg,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,irong
iroñgán,"chair, bench, suite of furniture",seat,Dictionary I,"{""root"":""roñgán"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",roñgán,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,irongan
isá,one (= sakéy ),one,Dictionary I,"{""root"":""sá"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",sá,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,isa
isáw,animal to be used as food,offal,Dictionary I,"{""root"":""sáw"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",sáw,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,isaw
ísla,island,island,Dictionary I,"{""root"":""ísla"",""processes"":[]}",ísla,-,-,-,-,-,isla
ísip,mind; to think (man- ),think,Dictionary I,"{""root"":""ísip"",""processes"":[]}",ísip,-,-,-,-,-,isip
kaísipán,"voice, opinion",opinion,Dictionary I,"{""root"":""kaísipán"",""processes"":[]}",kaísipán,-,-,-,-,-,kaisipan
isís,to scour (man -),scrubbing,Dictionary I,"{""root"":""sís"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",sís,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,isis
isnéto,to adjust to something (man -),adapt,Dictionary I,"{""root"":""sné"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""},{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}]}",sné,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""},{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,isneto
1itá,see ta,we two,Dictionary I,"{""root"":""1itá"",""processes"":[]}",1itá,-,-,-,-,-,1ita
2itá,"to go ahead of someone, invite to follow",usher,Dictionary I,"{""root"":""2itá"",""processes"":[]}",2itá,-,-,-,-,-,2ita
itáw,term of address used to girl playmate whose name etc. is unknown to speaker (not used by adults),girl,Dictionary I,"{""root"":""táw"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",táw,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,itaw
itér,to give (maN -),give,Dictionary I,"{""root"":""tér"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",tér,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,iter
naitdán,given,given,Dictionary I,"{""root"":""naitdán"",""processes"":[]}",naitdán,-,-,-,-,-,naitdan
ítik,native duck,duck,Dictionary I,"{""root"":""ítik"",""processes"":[]}",ítik,-,-,-,-,-,itik
ití,see ti,we,"Dictionary I, Dictionary T","{""root"":""tí"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",tí,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,iti
íto,small catfish,catfish,Dictionary I,"{""root"":""í"",""processes"":[{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}]}",í,"{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}",suffix,3sg genitive enclitic,-,-to,ito
itsúra,"kind, face, appearance",appearance,Dictionary I,"{""root"":""tsúra"",""processes"":[{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",tsúra,"{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",prefix,theme/goal or benefactive focus (non-completed),-,i-,itsura
íwas,"to shift one’s position, shift something, but not away from general area in which it is situated (on -)",shift,Dictionary I,"{""root"":""íwas"",""processes"":[]}",íwas,-,-,-,-,-,iwas
íwi,care of or for animals,animal care,Dictionary I,"{""root"":""íwi"",""processes"":[]}",íwi,-,-,-,-,-,iwi
íyan,see yan,contents,"Dictionary I, Dictionary Y","{""root"":""íy"",""processes"":[{""type"":""suffix"",""meaning"":""locative/referent focus (non-completed)"",""form"":""-an"",""normalized_form"":""an""}]}",íy,"{""type"":""suffix"",""meaning"":""locative/referent focus (non-completed)"",""form"":""-an"",""normalized_form"":""an""}",suffix,locative/referent focus (non-completed),-,-an,iyan
ka,"you, sg., familiar (topic pronoun)",you,Dictionary K,"{""root"":""ka"",""processes"":[]}",ka,-,-,-,-,-,ka
siká,"you, sg. familiar (independent pronoun)",you,"Dictionary K, Dictionary S","{""root"":""siká"",""processes"":[]}",siká,-,-,-,-,-,sika
kabakáb,"covered with any kind of skin disease (na-, a-)",scabbed,Dictionary K,"{""root"":""kabakáb"",""processes"":[]}",kabakáb,-,-,-,-,-,kabakab
kabán,"cavan, a dry measure approximately equivalent to a bushel; a trunk for storing clothes etc.; deposit",chest,Dictionary K,"{""root"":""kabán"",""processes"":[]}",kabán,-,-,-,-,-,kaban
kabarét,"cabaret, night club",cabaret,Dictionary K,"{""root"":""kabarét"",""processes"":[]}",kabarét,-,-,-,-,-,kabaret
kábat,to know (man -); knowledge; acquaintance,know,Dictionary K,"{""root"":""kábat"",""processes"":[]}",kábat,-,-,-,-,-,kabat
pakábat,"to inform (mañgi -); advertisement, notice, announcement",notice,Dictionary K,"{""root"":""kábat"",""processes"":[{""type"":""prefix"",""meaning"":""causative/allowative"",""form"":""pa-"",""normalized_form"":""pa""}]}",kábat,"{""type"":""prefix"",""meaning"":""causative/allowative"",""form"":""pa-"",""normalized_form"":""pa""}",prefix,causative/allowative,-,pa-,pakabat
sankakábat,"intimate, close associate",intimate,Dictionary K,"{""root"":""sankakábat"",""processes"":[]}",sankakábat,-,-,-,-,-,sankakabat
kabátyan,female,female,Dictionary K,"{""root"":""kabáty"",""processes"":[{""type"":""suffix"",""meaning"":""locative/referent focus (non-completed)"",""form"":""-an"",""normalized_form"":""an""}]}",kabáty,"{""type"":""suffix"",""meaning"":""locative/referent focus (non-completed)"",""form"":""-an"",""normalized_form"":""an""}",suffix,locative/referent focus (non-completed),-,-an,kabatyan
kabáyo,horse; to ride a horse (on -),horse,Dictionary K,"{""root"":""kabá"",""processes"":[{""type"":""suffix"",""meaning"":""2pl genitive enclitic"",""form"":""-yo"",""normalized_form"":""yo""}]}",kabá,"{""type"":""suffix"",""meaning"":""2pl genitive enclitic"",""form"":""-yo"",""normalized_form"":""yo""}",suffix,2pl genitive enclitic,-,-yo,kabayo
kabkabáyo,toy horse,toy horse,Dictionary K,"{""root"":""kabá"",""processes"":[{""type"":""suffix"",""meaning"":""2pl genitive enclitic"",""form"":""-yo"",""normalized_form"":""yo""},{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CVC-"",""normalized_form"":""CVC"",""partial_chunk"":""kab""}]}",kabá,"{""type"":""suffix"",""meaning"":""2pl genitive enclitic"",""form"":""-yo"",""normalized_form"":""yo""},{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CVC-"",""normalized_form"":""CVC"",""partial_chunk"":""kab""}",suffix,2pl genitive enclitic,kab,-yo,kabkabayo
kábil,"to attack, whip, punish",attack,Dictionary K,"{""root"":""kábil"",""processes"":[]}",kábil,-,-,-,-,-,kabil
kabít,attach; joint; share a part,attach,Dictionary K,"{""root"":""kabít"",""processes"":[]}",kabít,-,-,-,-,-,kabit
kabkáb,to gnaw; body dirt,gnaw,Dictionary K,"{""root"":""kabkáb"",""processes"":[]}",kabkáb,-,-,-,-,-,kabkab
káblit,to touch lightly,tap,Dictionary K,"{""root"":""káblit"",""processes"":[]}",káblit,-,-,-,-,-,kablit
kábtang,duty,duty,Dictionary K,"{""root"":""kábtang"",""processes"":[]}",kábtang,-,-,-,-,-,kabtang
kádkad,to scrape,scrape,Dictionary K,"{""root"":""kádkad"",""processes"":[]}",kádkad,-,-,-,-,-,kadkad
kagáy,to shave (man -),shave,Dictionary K,"{""root"":""kagáy"",""processes"":[]}",kagáy,-,-,-,-,-,kagay
kágter,"privilege, opportunity",privilege,Dictionary K,"{""root"":""kágter"",""processes"":[]}",kágter,-,-,-,-,-,man
cajÉro,cashier,cashier,Dictionary K,"{""root"":""cajÉro"",""processes"":[]}",cajÉro,-,-,-,-,-,cajero
kahón,box,box,Dictionary K,"{""root"":""kahón"",""processes"":[]}",kahón,-,-,-,-,-,kahon
káhoy,"cassava kaíli, sankaíli alien, foreigner, stranger",foreigner,Dictionary K,"{""root"":""káhoy"",""processes"":[]}",káhoy,-,-,-,-,-,kahoy
kaláb,"to climb a tree, well, etc. (on -)",climb,Dictionary K,"{""root"":""kaláb"",""processes"":[]}",kaláb,-,-,-,-,-,kalab
kálaba,"honeycomb, similar nest of insect",hive,Dictionary K,"{""root"":""kálaba"",""processes"":[]}",kálaba,-,-,-,-,-,kalaba
kaladkád,rake made from bamboo or wood,rake,Dictionary K,"{""root"":""kaladkád"",""processes"":[]}",kaladkád,-,-,-,-,-,kaladkad
kalaéng,small clay stove,stove,Dictionary K,"{""root"":""kalaéng"",""processes"":[]}",kalaéng,-,-,-,-,-,kalaeng
kalág,interpreted dream,lucid dream,Dictionary K,"{""root"":""kalág"",""processes"":[]}",kalág,-,-,-,-,-,kalag
kalákal,"do well, behave well (man -); intelligence, good judgement",behaved,Dictionary K,"{""root"":""kalákal"",""processes"":[]}",kalákal,-,-,-,-,-,kalakal
kalamansí,"small citrus fruit, somewhat like lime",kalamansi,Dictionary K,"{""root"":""kalamansí"",""processes"":[]}",kalamansí,-,-,-,-,-,kalamansi
kalamór,"the pity of it! pathetic, grieving",grieve,Dictionary K,"{""root"":""kalamór"",""processes"":[]}",kalamór,-,-,-,-,-,kalamor
kalánsing,tinkle (man -),tinkle,Dictionary K,"{""root"":""kalánsg"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":6}]}",kalánsg,"{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":6}",infix,completed aspect marker,-,-in-,kalansing
kálap,to catch fish with a net (man -),net,Dictionary K,"{""root"":""kálap"",""processes"":[]}",kálap,-,-,-,-,-,kalap
kalás,clean cane by removing the nodes,strip,Dictionary K,"{""root"":""kalás"",""processes"":[]}",kalás,-,-,-,-,-,kalas
kalát,to bite,bite,Dictionary K,"{""root"":""kalát"",""processes"":[]}",kalát,-,-,-,-,-,kalat
kalatkát,mixture of distinct entities,blend,Dictionary K,"{""root"":""kalatkát"",""processes"":[]}",kalatkát,-,-,-,-,-,kalatkat
kaláwit,stick or pole for reaching fruits; to gather fruits etc. by means of a kaláwit,gather (fruit),Dictionary K,"{""root"":""kaláwit"",""processes"":[]}",kaláwit,-,-,-,-,-,kalawit
kaláykay,cluster of fruits or nuts; rake,rake,Dictionary K,"{""root"":""kaláykay"",""processes"":[]}",kaláykay,-,-,-,-,-,kalaykay
kálbo,"to pour over (man -, mañgi -)",douse,Dictionary K,"{""root"":""kálbo"",""processes"":[]}",kálbo,-,-,-,-,-,kalbo
kaldÉro,"deep cooking pot, kettle",kettle,Dictionary K,"{""root"":""kaldÉro"",""processes"":[]}",kaldÉro,-,-,-,-,-,kaldero
kalí,gold mine,gold mine,Dictionary K,"{""root"":""kalí"",""processes"":[]}",kalí,-,-,-,-,-,kali
káling,to dry fish in the sun or over fire; dried salted fish,cure,Dictionary K,"{""root"":""kálg"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":3}]}",kálg,"{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":3}",infix,completed aspect marker,-,-in-,kaling
kális,chalice,chalice,Dictionary K,"{""root"":""kális"",""processes"":[]}",kális,-,-,-,-,-,kalis
kálitkálit,ankle,ankle,Dictionary K,"{""root"":""kálit"",""processes"":[{""type"":""reduplication"",""meaning"":""full reduplication (intensifier/frequentative)"",""form"":""full"",""normalized_form"":""full""}]}",kálit,"{""type"":""reduplication"",""meaning"":""full reduplication (intensifier/frequentative)"",""form"":""full"",""normalized_form"":""full""}",reduplication,full reduplication (intensifier/frequentative),-,full,kalitkalit
kalkál,to unwind,relax,Dictionary K,"{""root"":""kalkál"",""processes"":[]}",kalkál,-,-,-,-,-,kalkal
kálna,be slow,lag,Dictionary K,"{""root"":""kálna"",""processes"":[]}",kálna,-,-,-,-,-,kalna
makálna,slow,slow,Dictionary K,"{""root"":""kálna"",""processes"":[{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}]}",kálna,"{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}",prefix,causative / stative,-,ma-,makalna
kaló,movable pulley,movable pulley,Dictionary K,"{""root"":""kaló"",""processes"":[]}",kaló,-,-,-,-,-,kalo
kalobása,calabash gourd used as a vegetable,calabash,Dictionary K,"{""root"":""kalobása"",""processes"":[]}",kalobása,-,-,-,-,-,kalobasa
kalóg,to shake up and down (man -),shake,Dictionary K,"{""root"":""kalóg"",""processes"":[]}",kalóg,-,-,-,-,-,kalog
kalóng,basket made of palm leaves,basket,Dictionary K,"{""root"":""kalóng"",""processes"":[]}",kalóng,-,-,-,-,-,kalong
kalúpi,"cigarette case, wallet, or similar container",case,Dictionary K,"{""root"":""kalúpi"",""processes"":[]}",kalúpi,-,-,-,-,-,kalupi
kaluskus,rustling noise,rustle,Dictionary K,"{""root"":""kaluskus"",""processes"":[]}",kaluskus,-,-,-,-,-,kaluskus
