word,syllables,meaning,tag,english,filipino
lalung marok,la-lung -ma-rok,worse,Stative/ADJ/Adverb/Noun,worse,mas masahol pa
lalung marayuq,la-lung -ma-ra-yuq,farther,Stative/ADJ/Adverb/Noun,farther,mas malayo
lamalyorka,la-mal-yor-ka,name of a bus line or a family name or kind of watermelon,NOUN/ADJ/ADVERB,ilk,ilk
laman,la-man,contents or table,NOUN,contents,nilalaman
kalamnan,ka-lam-nan,contents of table,NOUN,contents,nilalaman
maglamaran,mag-la-ma-ran,stuff oneself greedily,VERB,stuff,bagay
lamat,la-mat,crack,NOUN,crack,basag
lambat,lam-bat,a kind of net,NOUN,trawl,trawl
malambat,ma-lam-bat,a long time ago,ADJ/ADV,long ago,matagal na
lambing,lam-bing,affection,NOUN,affection,pagmamahal
malambing a musika,ma-lam-bing- a -mu-si-ka,flowing music,ADJ/ADV,flowing,dumadaloy
lambis,lam-bis,caress,NOUN/VERB,caress,haplos
malambut,ma-lam-but,soft,ADJ/ADV,soft,malambot
mangalambut,man-ga-lam-but,feel weak or limp,VERB,limping,limping
lame,la-me,offer condolences or attend a wake,VERB,mourn,magdalamhati
lamesa,la-me-sa,table,NOUN,table,mesa
lampara,lam-pa-ra,kerosene lantern or lamp,NOUN,hurricane lamp,hurricane lamp
lampin,lam-pin,diaper,NOUN,diaper,lampin
malanam,ma-la-nam,smell of rotting fish or quality of rotting fish,ADJ/ADV,fishy,malabo
lanat,la-nat,a quality of fruits,ADJ/ADV,give,bigyan
lande,lan-de,slat or bamboo slat,NOUN,splat,splat
landiq,lan-diq,be in heat,VERB/STAT,be,maging
kalandian,ka-lan-di-an,the fact of being in heat,NOUN,warp,warp
lansonis,lan-so-nis,a kind of fruit,NOUN,grape,ubas
makilanduy,ma-ki-lan-duy,play hide and seek,VERB,game,laro
lantik,lan-tik,bend or arch body,VERB,bow,bow
malantung,ma-lan-tung,horny or sexually eager,ADJ/ADV,hot,mainit
langgoci,lang-go-ci,burlap bag,NOUN,burlap,burlap
langiq,lan-giq,get dry or dry something,VERB,air,hangin
malangiq,ma-lan-giq,dry,ADJ/ADV,dry,tuyo
langib,lan-gib,scar,NOUN,scar,peklat
lango,lan-go,housefly,NOUN,housefly,bahay -bahay
malango,ma-lan-go,fly infested,ADJ/ADV,fly,lumipad
lapad,la-pad,width,NOUN,width,lapad
malapad,ma-la-pad,wide or thick,ADJ/ADV,wide,malawak
lapat,la-pat,exact or fit or adjusted,ADJ/ADV,fitted,nilagyan
ilapat,i-la-pat,adjust something,VERB,adjust,ayusin
lapirut,la-pi-rut,pinch,VERB,pinch,kurot
lapis,la-pis,pencil,NOUN,pencil,lapis
lapitan,la-pi-tan,draw near to something,VERB,approach,diskarte
malapit,ma-la-pit,near or adjacent,ADJ/ADV,near,malapit
lapu,la-pu,overflow,VERB,overflow,overflow
laraq,la-raq,pepper,NOUN,pepper,paminta
laram,la-ram,lie or falsehood,NOUN,lie,kasinungalingan
larawan,la-ra-wan,image or picture,NOUN,image,imahe
malare,ma-la-re,pink or rosy or ivory,ADJ/ADV,carnation,carnation
larga,lar-ga,proceed or let loose,VERB,release,pakawalan
laruq,la-ruq,oil,NOUN,oil,langis
lasa,la-sa,flavor or taste,NOUN,flavor,lasa
lasa,la-sa,suffer lalasa linasa palasan apalasan,VERB,ache,sakit
lasak,la-sak,destroy something,VERB,destroy,sirain
malasak,ma-la-sak,torn down,ADJ/ADV,torn,punit
lasawan,la-sa-wan,digest something,VERB,digest,digest
malaso,ma-la-so,digestable or dissolved,ADJ/ADV,digestable,natutunaw
maglasu anak,mag-la-su- a-nak,abortion or miscarriage,ADJ/ADV,abortion,pagpapalaglag
malasebu,ma-la-se-bu,half ripe,ADJ/ADV,half,kalahati
lasenggu,la-seng-gu,drunkard,NOUN,drunkard,lasing
lasetas,la-se-tas,knife or jack knife,NOUN,jackknife,jackknife
lasetang batanggenyu,la-se-tang -ba-tang-gen-yu,switchblade,NOUN,switchblade,switchblade
lasuq,la-suq,ribbon or sort of mouth sore,NOUN,loser,talo
lasun,la-sun,poison,NOUN,poison,poison
lasunan,la-su-nan,poison someone or poison something,VERB,label,label
lata,la-ta,tin can,NOUN,tin,lata
tukong lata,tu-kong -la-ta,square can,NOUN,square,parisukat
barungga lata,ba-rung-ga -la-ta,kick the can,NOUN,kick,sipa
malatiq,ma-la-tiq,small,ADJ/ADV,small,maliit
lalatiq,la-la-tiq,grow small,VERB,grow,lumaki
ilatiq,i-la-tiq,make something,VERB,make,gumawa
latik,la-tik,a sauce of sugar and toasted coconut,NOUN,caramel,caramel
malatik,ma-la-tik,cresenting moon,ADJ/ADV,cresenting,cresenting
latundan,la-tun-dan,a kind of banana,NOUN,top,tuktok
laun,la-un,old or worn out or dehydrated or dessicated,ADJ/ADV,decrepit,defrepit
lawun,la-wun,old or worn out or dehydrated or dessicated,ADJ/ADV,decrepit,defrepit
laus,la-us,proceed or continue,VERB,proceed,magpatuloy
lawus,la-wus,proceed or continue,VERB,proceed,magpatuloy
melaus,me-la-us,old or useless,ADJ/ADV,old,matanda
malaut,ma-la-ut,far,ADJ/ADV,far,malayo
lawas,la-was,sluice or irrigation gate,NOUN,penstock,penstock
lawe,la-we,look at,VERB,look,tumingin
lawan,la-wan,look at something,VERB,look,tumingin
laya,la-ya,ginger,NOUN,ginger,luya
maglayag,mag-la-yag,sail,VERB,sail,layag
laypan,lay-pan,centipede,NOUN,centipede,centipede
layu,la-yu,a christmaseve celebration singing between two groups who represent the holy family and the people of bethlehem,NOUN,relation,kaugnay
legayan,le-ga-yan,one stalk of rice,NOUN,culm,culm
legwas,leg-was,league or a measure of distance,NOUN,mile,milya
lele,le-le,border or edge or side,NOUN,verge,verge
lelut,le-lut,rice gruel,NOUN,rice,bigas
lelut manuk,le-lut -ma-nuk,a chicken and rice stew or porridge,NOUN,poilu,poilu
lenggwae,lengg-wa-e,language,NOUN,language,wika
letratu,let-ra-tu,picture or photograph,NOUN,picture,larawan
libad,li-bad,twists and turns,NOUN,twists,twists
maglibang,mag-li-bang,enjoy oneself,VERB,enjoy,tangkilikin
libangan,li-ban-gan,amusement,NOUN,amusement,libangan
malibatu,ma-li-ba-tu,a stage in the maturity of mangos,ADJ/ADV,neoteny,neoteny
libe,li-be,exchange something,VERB,exchange,palitan
libay,li-bay,exchange something,VERB,exchange,palitan
malibi,ma-li-bi,lustful or lascivious,ADJ/ADV,lustful,lustful
libluban,lib-lu-ban,portion or a rice field,NOUN,paddy,paddy
libru,lib-ru,book,NOUN,book,libro
libu,li-bu,one thousand,NOUN,one,isa
lilibut,li-li-but,go around,VERB,go,pumunta ka na
libutad,li-bu-tad,center or centered,STAT,center,sentro
libutad,li-bu-tad,put something in center,STAT,turn,lumingon
likas,li-kas,remove contents from one place and put in or another or transfer or translate,VERB,carry,dalhin
talapaglikas,ta-la-pag-li-kas,interpreter,NOUN,interpreter,tagapagsalin
maliksiq,ma-lik-siq,agile or fast or skilled,ADJ/ADV,swift,matulin
malikut,ma-li-kut,overactive or always moving or restless or fidgety,ADJ/ADV,fretful,fretful
lider,li-der,a political ward boss,NOUN,bossism,bossism
ligaq,li-gaq,boil,VERB,boil,pakuluan
maligatligat,ma-li-gat-li-gat,soft or sticky or smooth texture,ADJ/ADV,silken,silken
kaligatan,ka-li-ga-tan,just right,ADJ/ADV,just,basy
liligiran,li-li-gi-ran,surround,VERB,surround,palibutan
paligid,pa-li-gid,surroundings,NOUN,surroundings,paligid
ligligan,lig-li-gan,contest,NOUN,contest,paligsahan
magligpit,mag-lig-pit,arrange oe straighten or fix or put in order,VERB,settled,naayos
magligtas,mag-lig-tas,safe,ADJ/ADV,safe,ligtas
liliguq,li-li-guq,fishing,VERB,fishing,pangingisda
manaligwat,ma-na-lig-wat,kipnapper,NOUN,kipnapper,kipnapper
manaligwat,ma-na-lig-wat,rifle or steal from,VERB,plunder,pandarambong
lihim,li-him,secret or private,ADJ/ADV,secret,lihim
liqim,li-qim,secret or private,ADJ/ADV,secret,lihim
lilyu,lil-yu,dizzy,ADJ/ADV,dizzy,nahihilo
lima,li-ma,five,NUM,five,lima
limbag,lim-bag,swollen,ADJ/ADV/STAT,swollen,namamaga
malimbag,ma-lim-bag,published or printed,ADJ/ADV/STAT,published,nai -publish
pangalimbag,pan-ga-lim-bag,edition or printing,NOUN,edition,edisyon
kaduanglimbag,ka-du-ang-lim-bag,second edition or printing,NOUN,reprint,i -print muli
limbun,lim-bun,procession,NOUN,procession,prusisyon
limpuyuq,lim-pu-yuq,mole or skin mark,NOUN,beauty spot,beauty spot
alimpuyuq,a-lim-pu-yuq,mole or skin mark,NOUN,beauty spot,beauty spot
lina,li-na,a female nickname from Rizalina,NOUN,sis,sis
maglinis,mag-li-nis,clean,VERB,clean,malinis
malinis,ma-li-nis,clean,ADJ/ADV,clean,malinis
lintik,lin-tik,light shower or rainfall,NOUN,sprinkle,pagwiwisik
malintusan,ma-lin-tu-san,blistered,ADJ/ADV,blistered,blister
malingapngap,ma-lin-gapn-gap,chuckling under the chine,ADJ/ADV,shin,shin
malingasngas,ma-lin-gasn-gas,worrisome,ADJ/ADV,worrisome,nakakabahala
linggotci,ling-got-ci,sack or burlap bag,NOUN,gunnysack,gunnysack
linggu,ling-gu,week,NOUN,week,linggo
paruminggu,pa-ru-ming-gu,one week,NOUN,one,isa
linggweta,lingg-we-ta,staple or something used to fasten corrugated iron roofing,NOUN,steel,bakal
malingo,ma-lin-go,hysterical,ADJ/ADV,hysterical,hysterical
lipak,li-pak,callus or blister,NOUN,callus,callus
malipak,ma-li-pak,callused,ADJ/ADV,callused,callused
lipaktung,li-pak-tung,a kind of insect,NOUN,grasshopper,grasshopper
maglipasag,mag-li-pa-sag,wiggling,VERB,wiggling,wiggling
lipat,li-pat,move or transfer or change places,VERB,interchange,pagpapalitan
lipunga,li-pun-ga,foot,NOUN,foot,paa
alipunga,a-li-pun-ga,foot,NOUN,foot,paa
lisang,li-sang,dislocated or disjointed,ADJ/ADV/STAT,dislocated,dislocate
lisangan,li-san-gan,heat,NOUN,heat,init
malisangan,ma-li-san-gan,warn,ADJ/ADV,warn,babala
lisensya,li-sens-ya,license,NOUN,license,lisensya
lisensyadu,li-sens-ya-du,licensed,ADJ/ADV,licensed,lisensyado
lislis,lis-lis,push up or roll up,VERB,rolled,pinagsama
lisyaq,lis-yaq,move over,VERB,move,ilipat
lisyun,lis-yun,lesson,NOUN,lesson,aralin
litid,li-tid,tendon or cartilage,NOUN,tendon,tendon
litiran,li-ti-ran,cut the tendon,VERB,cut,gupitin
litru,lit-ru,litre,NOUN,litre,litro
patiq,pa-tiq,six litres,NOUN,six,anim
litsun,lit-sun,roat pig,NOUN,roat,roat
liwaluq,li-wa-luq,a kind of fish noted for its spines,NOUN,stickleback,stickleback
maliwanag,ma-li-wa-nag,bright or shining,ADJ/ADV,bright,maliwanag
liwas,li-was,take someones place or pass going in opposite directions and fail to meet,VERB,come,halika
liyas,li-yas,small lice,NOUN,small,maliit
lobu,lo-bu,balloon,NOUN,balloon,lobo
loku,lo-ku,crazy,ADJ/ADV/STAT,crazy,baliw
loko,lo-ko,crazy,ADJ/ADV/STAT,crazy,baliw
loka,lo-ka,crazy,ADJ/ADV/STAT,crazy,baliw
lokwan,lok-wan,fool or tease someone,VERB,leg,binti
maglolo,mag-lo-lo,court,VERB,court,hukuman
lololo,lo-lo-lo,hang down long,VERB,hang,hang
loren,lo-ren,a male name,NOUN,a,a
loti,lo-ti,a lot plot of land or subdivision,NOUN,plat,plat
lotiloti,lo-ti-lo-ti,subdivision,NOUN,subdivision,subdibisyon
luaq,lu-aq,tear,NOUN,tear,luha
luluaq,lu-lu-aq,weep,VERB,weep,umiiyak
lub,lub,inside or the interior of something or soul or mind or feelings or sentiment or work something to go in to do,NOUN,penetrate,tumagos
kaluban,ka-lu-ban,holster or sheath,,holster,holster
lubakan,lu-ba-kan,loosen something,VERB,loosen,paluwagin
malubak,ma-lu-bak,be loose,ADJ/ADV,be,maging
lubas,lu-bas,naked or nude,ADJ/ADV/STAT,naked,hubad
lubid,lu-bid,rope,NOUN,rope,lubid
lukswa lubid,luks-wa -lu-bid,skip rope,NOUN,skip,laktawan
lubluban,lub-lu-ban,one square of rice fields,NOUN,field,bukid
lubulobu,lu-bu-lo-bu,the catching pond in a fishpond system,NOUN,fish,isda
lubuslubusan,lu-bus-lu-bu-san,eating until satisfied or the manner of satisfied eating,NOUN,surfeit,surfeit
malukaq,ma-lu-kaq,humble or poor,ADJ/ADV,humble,mapagpakumbaba
lukas,lu-kas,take off,VERB,take,kumuha
luka spaldas,lu-ka s-pal-das,removing of ceremonial black cloth one year after a family,NOUN,drop,bumagsak
lukluk,luk-luk,sit or take a seat,VERB,bench,bench
luklukan,luk-lu-kan,seat or place to sit,NOUN,place down,ilagay pababa
pamaglukluk,pa-mag-luk-luk,sitting,NOUN,sitting,nakaupo
makalukluk,ma-ka-luk-luk,seated,ADJ/ADV/STAT,seated,nakaupo
malukong,ma-lu-kong,curved or round bottomed or bout shapped,ADJ/ADV,balloon,lobo
luksuq,luk-suq,jump,VERB,jump,tumalon
lukswanan lubid,luks-wa-nan -lu-bid,skip rope,NOUN,skip,laktawan
luksung babiq,luk-sung -ba-biq,leap frog,NOUN,leap,tumalon
lulukub,lu-lu-kub,hatch eggs or live with relative,VERB,brood,brood
lukut,lu-kut,roll things up,VERB,roll,roll
luding,lu-ding,female nickname for Ludinia or female nickname for Lourdes,NOUN,benny,benny
lugaq,lu-gaq,earwax,NOUN,earwax,earwax
malugaq,ma-lu-gaq,have plenty of earwax,ADJ/ADV,teem,teem
lugal,lu-gal,place or location or space,NOUN,position,posisyon
ilugal,i-lu-gal,give place to someone,VERB,vest,vest
lugud,lu-gud,love,NOUN,love,pag -ibig
kalugudlugud,ka-lu-gud-lu-gud,dear ones,NOUN,dear,mahal
kaluguran,ka-lu-gu-ran,beloved or sweetheart,NOUN,beloved,minamahal
kaluguran,ka-lu-gu-ran,friend,NOUN,friend,kaibigan
kaluguran,ka-lu-gu-ran,love someone,VERB,love,pag -ibig
malugud,ma-lu-gud,dear,ADJ/ADV,dear,mahal
lulaq,lu-laq,cloudy or overcast,NOUN,cloudy,maulap
malulaq,ma-lu-laq,cloudy or overcast,ADJ/ADV,cloudy,maulap
maglulaq,mag-lu-laq,be about to rain,VERB,raining,umuulan
malulam,ma-lu-lam,cloudy or about to rain,ADJ/ADV,raining,umuulan
lulsut,lul-sut,break or through or pierce or burst through or bloom,VERB,rupture,pagkawasak
lulu,lu-lu,pity or mercy,NOUN,pity,awa
kalulu,ka-lu-lu,poor man,NOUN,poor,mahina
pakalulu,pa-ka-lu-lu,have mercy or pity someone,NOUN,rue,rue
luluq,lu-luq,race,NOUN,race,lahi
melulud,me-lu-lud,barked,ADJ/ADV,barked,barked
lulun,lu-lun,roll up,VERB,roll,roll
malulut,ma-lu-lut,ripe or mature,ADJ/ADV,ripe,hinog
lumbe,lum-be,watch or observe,VERB,watch,panoorin
lumbug,lum-bug,flood or be submerged,NOUN,awash,awash
lumo,lu-mo,be accustomed or done in custom,STAT/ADJ/ADV/VERB,customary,kaugalian
lumput,lum-put,squeeze into an opening in a line or win a narrow election,VERB,slot,slot
lumud,lu-mud,drown,Stative/Verb/ADJ/Adverb,drown,malunod
lumut,lu-mut,algae or moss or seaweed,NOUN,agar,agar
lumot,lu-mot,algae or moss or seaweed,NOUN,agar,agar
lunas,lu-nas,that part of a plow which pushes the turned up dirt away from the blade,NOUN,top,tuktok
lunis,lu-nis,Monday,NOUN,monday,lunes
mangalunis,man-ga-lu-nis,have bad luck on monday or spoil the whole week,ADJ/ADV,jinx,jinx
malulunus,ma-lu-lu-nus,pity someone,ADJ/Adverb/Stative/Verb,pity,awa
lungkut,lung-kut,sadness,NOUN,sadness,kalungkutan
malungkut,ma-lung-kut,sad or lonely,NOUN,sad,malungkot
lungub,lun-gub,enter,VERB,enter,pumasok
lupa,lu-pa,face,NOUN,face,mukha
kalupa,ka-lu-pa,look like,NOUN,look,tumingin
milupa,mi-lu-pa,similar or same,NOUN,similar,katulad
lupisak,lu-pi-sak,house lizard,NOUN,house,bahay
malupit,ma-lu-pit,cruel,ADJ/ADV,cruel,malupit
luraq,lu-raq,spit or saliva,NOUN,spit,dumura
duraq,du-raq,spit or saliva,NOUN,spit,dumura
maluslus,ma-lus-lus,digested,ADJ/ADV,digested,hinukay
lutas,lu-tas,finish,Verb/Stative/ADJ/Adverb,finish,tapusin
lutuq,lu-tuq,cook,VERB,cook,lutuin
malutuq,ma-lu-tuq,cooked,ADJ/ADV,cooked,luto
malutuq,ma-lu-tuq,red,ADJ/ADV,red,pula
malutulutuq,ma-lu-tu-lu-tuq,reddish,ADJ/ADV,reddish,mapula -pula
mangalutuq,man-ga-lu-tuq,blushing,VERB,blushing,namumula
malutung,ma-lu-tung,crisp or brittle,ADJ/ADV,crisp,malutong
luwal,lu-wal,outside,NOUN,outside,sa labas
lual,lu-al,outside,NOUN,outside,sa labas
luwal,lu-wal,go out,VERB,go,pumunta ka na
lual,lu-al,go out,VERB,go,pumunta ka na
ilual,i-lu-al,take something out,VERB,take,kumuha
maluwalas,ma-lu-wa-las,spacious or expensive,ADJ/ADV,spacious,maluwang
maluat,ma-lu-at,for a long time,ADJ/ADV,forever,magpakailanman
magluwid,mag-lu-wid,succeed or win progress,VERB,achieve,makamit
luyus,lu-yus,areca palm,NOUN,areca,areca
malilyu,ma-lil-yu,dizzy or giddy,NOUN,dizzy,nahihilo
maq,maq,mother,NOUN,mother,ina
imaq,i-maq,mother,NOUN,mother,ina
makadwaq,ma-kad-waq,second or two days from,ADJ/ADV,yesterday,kahapon
makananu,ma-ka-na-nu,how or in what manner,PROJ,however,gayunpaman
makau reng gamitan,ma-ka-u -reng -ga-mi-tan,how are those used?,PROJ,world,mundo
makina,ma-ki-na,machine or engine or rice mill,NOUN,windmill,windmill
makinabang,ma-ki-na-bang,profit,NOUN,profit,kita
makinabang,ma-ki-na-bang,go to holy communion,VERB,intercommunion,intercommunion
pamakinabang,pa-ma-ki-na-bang,holy communion,NOUN,holy,banal
makinilya,ma-ki-nil-ya,typewriter,NOUN,typewriter,makinilya
mako,ma-ko,leave or depart,VERB,leave,umalis
makupa,ma-ku-pa,macopa,NOUN,macopa,macopa
madrekaku,mad-re-ka-ku,a treelike plant or with many trunks or used for firewood and leaves fed to goats,NOUN,tree,puno
majong,ma-jong,mahjong,NOUN,mahjong,mahjong
magkanu,mag-ka-nu,how much,PROJ,how,paano
mais,ma-is,corn,NOUN,corn,mais
mais lakatan,ma-is -la-ka-tan,white corn,NOUN,white,puti
mais malutu,ma-is -ma-lu-tu,yellow corn,NOUN,yellow,dilaw
maisan,ma-i-san,corn field,NOUN,corn,mais
busang mais,bu-sang -ma-is,pop corn,NOUN,pop,pop
ligang mais,li-gang -ma-is,boiled corn,NOUN,boiled,pinakuluang
swam mais,s-wam -ma-is,mixed vegetables with corn,NOUN,macedoine,macedoine
maitines,ma-i-ti-nes,the midnight mass at christmas,NOUN,star,bituin
mal,mal,expensive or dear or valuable,ADJ/ADV,priceless,hindi mabibili ng salapi
malan,ma-lan,clothes or dress,NOUN,clothes,damit
imalan,i-ma-lan,clothes or dress,NOUN,clothes,damit
malaus,ma-la-us,come in or proceed or continue,VERB,pursue,ituloy
maldaq,mal-daq,common man or everyone or populace,NOUN,many,marami
ding maldaq,ding -mal-daq,all the people,NOUN,all,lahat
babasan maldaq,ba-ba-san -mal-daq,popular reader,NOUN,popular,tanyag
male,ma-le,consciousness,NOUN,consciousness,kamalayan
maleldu,ma-lel-du,holy week or good friday,NOUN,maundy thursday,maundy huwebes
malgarit,mal-ga-rit,whore,NOUN,harlot,harlot
maliq,ma-liq,error or mistake,NOUN,error,error
magkamaliq,mag-ka-ma-liq,err or make a mistake,VERB,slip up,dumulas
malignos,ma-lig-nos,evil spirits,NOUN,evil,masama
malintusan,ma-lin-tu-san,blistered,ADJ/ADV,blistered,blister
malyari,mal-ya-ri,can be or possible,VERB,impasse,impasse
mamaq,ma-maq,mister,NOUN,mister,mister
mamaq,ma-maq,chew betel nut,VERB,chew,chew
mamablas,ma-mab-las,respond or reciprocate,VERB,respond,tumugon
mamalaq,ma-ma-laq,low tide,NOUN,low,mababa
mamirapal,ma-mi-ra-pal,be in a hurry,VERB/ADJ/ADV,hasten,nagmamadali
mampit,mam-pit,come in or you are welcome,VERB,accept,tanggapin
man,man,used to indicate response,ADJUNCT,acknowledgment,pagkilala
mana,ma-na,inherit,VERB,inherit,magmana
mana,ma-na,inheritance,NOUN,inheritance,pamana
manabuq,ma-na-buq,fall down,VERB,fall,taglagas
manakbag,ma-nak-bag,fall down,VERB,fall,taglagas
manako,ma-na-ko,steal,VERB,steal,magnakaw
manalangaq,ma-na-lan-gaq,searching for,VERB,searching,naghahanap
manalanga yang pugad,ma-na-lan-ga -yang -pu-gad,looking for a nest,VERB,lookout,lookout
manalas,ma-na-las,dripping,ADJ/ADV/VERB,dripping,pagtulo
manamdaman,ma-nam-da-man,sensitive,ADJ/ADV,sensitive,sensitibo
manataq,ma-na-taq,people with vows,NOUN,people,mga tao
manatili,ma-na-ti-li,stop or stay or be with,VERB,stead,stead
ing ginu manatili ya kekayu,ing -gi-nu -ma-na-ti-li -ya -ke-ka-yu,god be with you,VERB,goodbye,paalam
manaya,ma-na-ya,waiting for someone or waiting for something,VERB,hold,hawakan
mandarin,man-da-rin,mandarin orange,NOUN,mandarin,mandarin
magmaneu,mag-ma-ne-u,usually meaning to drive for pay,VERB,hit,tumama
maniq,ma-niq,peanut or clitoris,NOUN,peanut,peanut
manibaug,ma-ni-ba-ug,name of a barrio,NOUN,goya,goya
manik,ma-nik,go upstairs,VERB,go,pumunta ka na
pamanikan,pa-ma-ni-kan,stage in courtship when the boy is invited to visit the girl in her house,NOUN,suit,ang angkop
manigapuq,ma-ni-ga-puq,have or express strong feelings for another,VERB,worship,pagsamba
manigotu,ma-ni-go-tu,weeding,VERB,weeding,weeding
maninap,ma-ni-nap,dreaming,VERB/ADJ/ADV/STAT,dreaming,pangarap
maninilyu,ma-ni-nil-yu,whisk or beater,NOUN,whisk,whisk
manintun,ma-nin-tun,look for,VERB,look,tumingin
manisig,ma-ni-sig,eat something which tastes sour,VERB/ADJ/ADV,soured,soured
manong,ma-nong,awkward or off color or improper,ADJ/ADV,lewd,lewd
mansad,man-sad,body smell,NOUN/ADJ/ADVERB/Verb,body,katawan
mansanitas,man-sa-ni-tas,a small fruitlike object which grows on trees used to refer to olives,NOUN,plum,plum
mantilyu,man-til-yu,hammer,NOUN,hammer,martilyo
manuk,ma-nuk,chicken,NOUN,chicken,manok
maninyat,ma-nin-yat,stretch or yawn,VERB,stretch,mag -inat
manutu,ma-nu-tu,molt,VERB,molt,molt
manyad,man-yad,ask for,VERB,ask,tanungin
manuyang,ma-nu-yang,son in law or daughter in law,NOUN,child,bata
manga,man-ga,used with dates or used with times or other numbers or to mean approximately,PROJ,round,bilog
mengabus,men-ga-bus,save or redeem or pardon,VERB,salvific,salvific
mangalukguk,man-ga-luk-guk,rumbling,VERB/ADJ/ADV,rumbling,rumbling
mangga,mang-ga,mango,NOUN,mango,mango
mangaqan,man-ga-qan,mango orchard,NOUN,mango,mango
mangisnawa,man-gis-na-wa,breathing,VERB/ADJ/ADV,breathing,paghinga
mangumpe,man-gum-pe,cutting grass or cutting fodder,VERB,haymaking,haymaking
map,map,good,ADJ/ADV/PROJ,good,mabuti
mapamirait,ma-pa-mi-ra-it,cheat or cheater,NOUN/VERB,cheat,manloko
rayit,ra-yit,cheat or cheater,NOUN/VERB,cheat,manloko
maplas,map-las,sting,ADJ/ADV,sting,sting
marangle,ma-rang-le,field,NOUN,field,bukid
marka,mar-ka,trademark or sign,NOUN,trademark,trademark
markang damonyo,mar-kang -da-mon-yo,mark of the devil,NOUN,stigma,stigma
margaha,mar-ga-ha,volcanic ash or lava,NOUN,cinder,cinder
margate,mar-ga-te,a special type of rice or manner of spaced planting recently introduced by agricultural,NOUN,paddy,paddy
maring,ma-ring,a female nickname,NOUN,a,a
mariposa,ma-ri-po-sa,butterfly,NOUN,butterfly,butterfly
mariya,ma-ri-ya,maria,NOUN,maria,maria
marso,mar-so,march,NOUN,march,marso
martir,mar-tir,martyr,NOUN,martyr,martir
martis,mar-tis,tuesday,NOUN,tuesday,martes
mas,mas,more,PROJ,more,higit pa
masa,ma-sa,mix dough,VERB,mix,paghaluin
masa,ma-sa,law,NOUN,law,batas
masaganaq,ma-sa-ga-naq,a system of planting rice by carefully measuring the distance between plantings,NOUN,caliper,caliper
maskara,mas-ka-ra,chewing tobacco or chewing betel nut or roll own cigrattes,NOUN,twist,iikot
maski,mas-ki,even though,PROJ/SCONJ,even,kahit na
masdan,mas-dan,look after or watch for or look for,VERB,attend,dumalo
masetas,ma-se-tas,flowerpot,NOUN,flowerpot,flowerpot
masyadu,mas-ya-du,very or too much,PROJ,overmuch,overmuch
masyadu mabayat,mas-ya-du -ma-ba-yat,not very heavy,PROJ,not,hindi
masyung,mas-yung,male nickname from Eustaquio,NOUN,bud,bud
mata,ma-ta,eye or shoot or sprout,NOUN,chit,chit
mata kwayan,ma-ta k-wa-yan,coconut spots,NOUN,coconut,coconut
telataung mata,te-la-ta-ung -ma-ta,iris,NOUN,iris,iris
matas,ma-tas,hire others to harvest,VERB,take,kumuha
matay,ma-tay,die,VERB,die,mamatay
mate,ma-te,die,VERB,die,mamatay
kamatayan,ka-ma-ta-yan,death,NOUN,death,kamatayan
matcin,mat-cin,monkey,NOUN,monkey,unggoy
matcin,mat-cin,ugly or lousy or unpleasant,ADJ/ADV,horrible,kakila -kilabot
maya,ma-ya,rice bird,NOUN,rice,bigas
putumaya,pu-tu-ma-ya,ricecake delicacy made of sugar coconut and glutinous rice,NOUN,chocolate,tsokolate
mayu,ma-yu,may,NOUN,may,mayo
mayul,ma-yul,church,NOUN,church,simbahan
misa mayul,mi-sa -ma-yul,high mass,ADJ/ADV,high,mataas
mayumu,ma-yu-mu,sweet,ADJ/ADV,sweet,sweet
mayumu,ma-yu-mu,sugar or candy or sweets,NOUN,fondant,fondant
pagmayumu,pag-ma-yu-mu,fruit preservative,NOUN,fruit,prutas
me,me,you or it,PRON,you,ikaw
medikul,me-di-kul,cough medicine,NOUN,cough,ubo
medida,me-di-da,tape measure,NOUN,tape,tape
meju,me-ju,somewhat or sort of or partially,PROJ,subcompressed,subcompressed
medyu,med-yu,somewhat or sort of or partially,PROJ,subcompressed,subcompressed
men,men,amen,INTJ,amen,amen
menus,me-nus,crazy or lacking mentally or minus,ADJ/ADV,mad,baliw
merli,mer-li,a female nickname,NOUN,a,a
mestru,mest-ru,teacher,NOUN,teacher,guro
metrus,met-rus,meter,NOUN,meter,metro
metrus,met-rus,carpenter rule,NOUN,carpenter,karpintero
metung,me-tung,one or first,NOUN/NUM,one,isa
milagrosa,mi-lag-ro-sa,miracle or wondrous happening,NOUN,awesome,galing
milagrosa,mi-lag-ro-sa,miracle rice,NOUN,miracle,himala
milun,mi-lun,melon,NOUN,melon,melon
milyari,mil-ya-ri,what happened,VERB,what,ano
mimin,mi-min,consumed,ADJ/ADV,consumed,natupok
mimin,mi-min,memorize,VERB,memorize,kabisaduhin
mina,mi-na,mine or mined substance or mineral,NOUN,ore,ore
minangun,mi-nan-gun,river flood control or dike or bank,NOUN,levee,levee
mirindal,mi-rin-dal,snack,NOUN,snack,meryenda
mis,mis,miss or address to an unmarried woman,NOUN,signorina,signorina
misa,mi-sa,mass or a catholic ceremony,NOUN,requiem,requiem
pamisa,pa-mi-sa,have a mass,VERB,have,mayroon
misan,mi-san,once in a while,PROJ/NOUN,now and then,ngayon at pagkatapos
