,part_of_speech,meaning_english,meaning_filipino,sample_bolinao,sample_english,upos,word
mudista,n,"Dressmaker (of female), milliner.",Sastre; modista; mananahi.,Mako ka sa mudista ta isukat may aysing mo.,Go to the dressmaker and have your dress fitted.,NOUN,
mudo,n,The manner or way in which a thing is done.,Modo.,Kustoy mudo nan anak.,The child's manners are correct.,NOUN,
mudyor,adj,To be bulging up around something.,,Madlaw a mudyor nan puon nan ubi ta alaki angkoy laman na.,It is obvious that the yam base is expanding I think because the yam is getting bigger.,ADJ,
mugmog,adj,To have been used until it is nearly ruined.,Pinabaya; ginamit na masyado.,Mugmog yaynay bag ko ta pirmi yan usaren.,My bag is worn out since it is constantly being used.,ADJ,
mugot,va,"If in the vicinity of home, to go home.",Umuwi.,Mugotakoynan masakbay.,I will go to town early.,VERB,
mugot-sumaka,va,Go back and forth between the town and the barrio.,,Mugot-sumaka sara a pampasahiro nin dyip sindo Birnis.,The passenger jeeps run between the town and village each Friday.,VERB,
mugsit,inf,A strong uncontrolled gush of water that sprays all over.,Pilandot.,Sin inabryan kwa a gripo sa lababo ket maksaw a mugsit na.,When I opened the faucet in the sink there was a strong gush.out of it.,VERB,
muhon,n,Something that show the boundary of land.,Muhon.,Sayti amuhonnin luta' ko.,These are the benchmarks to show the boundary of my land.,NOUN,
muklat,n,A young stingray.,Pagi.,Abaw a muklat nin nakalap mi sin nanyo' kami.,There were a lot of small stingrays we took when we were fishing with a light.,NOUN,
mula,n,"Plants, various things which are planted for a purpose and grow in the ground.",Tanim.,Abaw a klasin mula sa baraybay na ni Elmer.,There are many kinds of plants in Elmer's backyard.,NOUN,
mula',n,An establishment of something..,Simula.,,,NOUN,
mulagat,adj,For the eyes to be open.and perhaps staring at something.,Dilat.,Maidap nin mantiniwen a mulagat no makaka'lek tuloy.,It is difficult to hold open the eyes when one is very sleepy.,ADJ,
mulawan,vl,To plant something in the ground.,Tamnan.,Mulawan kwan mais a gagawa' no mayadi' nin mangagod nin pari.,I'll plant the field with corn when the reaping is finished.,VERB,
muldod,adj,"Swelling around the eyes from crying, touching or oversleeping.",Mugto.,Maglat a muldod nin mata no pababwan nin bagay nin maray'ep.,The swelling of the eyes is removed when something cold is applied.,ADJ,
mulengleng,n,The act of staring open eyed.,,Mulengleng ya si Dan sa TV sin nabantayan nay maksaw rayon.,Dan stared transfixed at the TV when he watched the strong earthquake.,NOUN,
muli',vchng,To ascend or climb up.,Umakyat.,Maongyanmuli'sa ta'gay ungot.,He is a goodclimberof coconut tree.,VERB,
muli'-manaoy,va,To go up and down something.,Akyat-panaog.,"Mi'sa wana konra, <<Isipen moyoyti nin maong: Ma'kit moyo li' nin miabri a langit tan saray uanghil nan Dios ket muli'-manaoy.>>","Next he said to them, <<Think about this well: You will see the heavens open and the angels of God coming up and down.>>",VERB,
mulimulikaw,adj,The eyes open wide and move uncontrollably.,,,,ADJ,
mulistya,n,"A small deed done out of concern for someone else which caused some inconvenience, hospitality.",Mangabala; abalahin; isturbohin.,"Abaw amulistyamo komi, abaw a salamat sa sayti.","You are giving us too muchhospitality, thank you for all of those.",NOUN,
mulistyawen,vo,To inconvenience someone.,Molestyahin.,Ambale' pirmi nakonmulistyawen?,Why are you alwaysbothering me?,VERB,
mulite',adj,To be staring without comprehension or not knowing what to do.,Dilat.,Mulite' saray pasahiro nin rway udas anan mantuma'gan sa ruranan.,The passengers stood around for two hours waiting for a ride.,ADJ,
mulitean,vl,To stare at something.,Pandilatan.,,,VERB,
mulmulan,vl,Suck on something in the mouth with tongue action.,Ngulngulin.,Mulmulan na ni Juan a lulipap nin sinaliw na sa tindawan.,Juan sucked on the lollipop he bought at the store.,VERB,
multa,n,A fine as a penalty.,Multa.,Abaw a multa no kai makabayad sa kuston udas.,There are many penalties if it is not able to be paid on time.,NOUN,
multiplika,n,Multiplication or making a specified number of sets of equal things.,Multiplika.,Multiplika a usaren mo pinggaw makalap moy uston ubat sa tepet.,It is multiplication that you use in order to get the right answer to the question.,NOUN,
mulyi,n,The leaf springs on a vehicle that help to smooth the ride.,Molye.,Si mulyi nan traysikel mi ket kai ya gapo mabari' mataman nangabyat a karga na.,The springs on our tricycle will not break at all no matter what weight of the cargo is put on it.,NOUN,
mumag'uray,n,Those governing over others.,May kapangyarihan.,Mayor a mumag'uray nin pirmin sunuren iti sa babali tamo.,It is the mayors that are the ruling ones that we always obey here in our town.,NOUN,
mumaidap,n,Those who are undergoing hard times or circumstances.,Naghihirap.,"Siti siDorcas, ugali' na a gumwa' nin maabig tan tumulong konran mumaidap.",It was Dorcas' custom to do good and help the poor.,NOUN,
mumangyadi',n,Things that are to happen or where accomplished.,Pangyayari.,"Say panaon tan mumangyadi', naitanda' nayna nin Dios mangibwat sa pakayadi' na.",The time and happenings have already been predestined by God out of his authority.,NOUN,
mumasakit,n,Sick people and things.,,Syay nanambar nin sarban mumasakit tamo tan ginlat na nga'min a sarban man'irangep tamo sa lalaman tamo.,He treated all of our sick and he removed every one of our bodily sufferings.,NOUN,
mumi',vchng,Urinate.,Umihi.,Mumi' ya si Juan sa inuduro nan kasilyas ra.,Juan urinated in the toilet of their bathroom.,VERB,
mumo,n,Thrush disease of mouth causing a child to not want to suck.,Mumo.,Saray a'nak tamo' a main mumo.,It is only children that have thrush.,NOUN,
mumulan,adv,To last throughout a month.,Mag-isang buwan.,No abaraen rako nin mamulan ket say kundisyon ko ket byan rakon singkwinta mil.,"My condition is that if I am out of work for one month, you are to give me 50,000.",ADV,
munamon,n,"A marine fish, whitish in color and about 2 to 3 inches long with a small head and a broader body thanbilis. This fish is used as bait.",Monamon.,"Sabtan kapoy mo, bara'mon utekmunamona utek mo.","You're extremely dumb, you have a brain like themunamonfish.",NOUN,
munastiryo,n,"Monastery, building where monks or nuns live in seclusion.",Monasteryo; bahay-monghe.,Kasabyan mumadri ket mampiikap sa munastiryo.,Usually nuns live in a monastery.,NOUN,
munay,n,"A loaf of tender bread, sometimes made with milk.",Monay.,Gustu-gusto ran saliwen amunaynin tutawo a ibat sa gagawa'.,The people who are coming from the field like very much to buymilk bread.,NOUN,
mundo,n,"The world, including all of its countries, peoples, natural features, and air.",Daigdig.,Man'umabaw anan kasan tegen a tawo iti sa mundo.,Humans are increasing without a disruption here on earth.,NOUN,
muneng,inf,"Brooding, sad, not thinking well or responding well, and staring off into space.",Nakatang^a.,Muneng ya tamo' nikakaawro ta naglat ya sa trabaho.,He is just brooding all day for he has lost his job.,VERB,
mungha,n,"Sister, nun, women church workers in the Roman Cath. Church.",Mongha; madre.,Saraymunghasaray mangakay sa simbaan.,Thenunsare the teachers in the church.,NOUN,
munghi,n,Monk.,Monghe; parì; misyunaryo.,Munghiyaynay sayay amigo ko sawanin a Baguio.,My friend is now amonkin Baguio.,NOUN,
muning,n,"Pussy cat, kitty.",Muning.,"Paramuning, yay kanen mo.","Come here pussy cat, here is your food.",NOUN,
munisipalidad,n,"Town, municipal, the town to be governed.",Munisipal; bayan.,Simunisipalidadnan Bolinao syay pag'urayan nan mayor tan kunsyalis na.,TheMunicipalityof Bolinao is governed by the mayor and his councilors.,NOUN,
munisipyo,n,Municipal hall.,Munisipyo.,"Sarban magtrabaho sa gubyirno, iti sara samunisipyo.",All government employees work in themunicipalhall.,NOUN,
munisyon,n,"Ammunition, materials used in warfare, arms.",Sandata; armas.,Abaw a nasamsam ran sundalo' ninmunisyonkonran kalaban.,The soldiers captured ammunition from the rebels.,NOUN,
munsinyor,n,"Monsignor, a title given to dignitaries in the Roman Catholic Church.",Monsenyor.,Ata'gay a pusisyon na sa simbaan nin munsinyor.,Monsignor is a high position in the church.,NOUN,
munulugo,n,"Monologue, dramatic sketch performed by one actor.",Monologo.,"Si munulugo na, inarig na sa libro.",His monologue was patterned after that in a book.,NOUN,
munuminto,n,"Monument, a building or a carved statue in remembrance of a person or event.",Munumento.,Mainmunumintoni Dr. Jose Rizal iti sa plasa nan Bolinao.,There is amonumentof Dr. Jose Rizal here in Bolinao Plaza.,NOUN,
munyika,n,"Dolls, puppet, doll toys for children.",Manika; manyika.,Isaliwan moko pa ninmunyikako?,Will you please buy for me adoll?,NOUN,
murado,adj,"Violet color, especially of plants.",Murado.,Saymuradonin kaimito ambo' tuloy mataway.,The violet star apple is not so tasty.,ADJ,
mural,n,"Moral, the lesson, inner meaning or teaching of a fable, story or event.",Moral.,Abaw a makalap ninmural a liksyonkonan isturya.,We can getmoral lessonsfrom the story.,NOUN,
muralidad,n,Morality.,Moralidad.,Matkap mainmuralidadsa pibabayli.,There must bemoralityin dancing.,NOUN,
murkon,n,"Large sausage, usually homemade.",Relyeno; morkon.,Kinnan koy murkon nin nibi mo kongko.,I have eaten the pork sausage that you gave me.,NOUN,
murngot,adj,The act of pursing or contracting the lips into a sour face indicating displeasure or anger.,Simangot.,Murngot kan pirmi kanya' kasan marabay komo.,You are always scowling and so no one likes you.,ADJ,
murngutan,vl,"To make a face at a person in anger, scowl.",Simangutan.,,,VERB,
murpluhiko,adj,"Morphology, the branch of biology that deals with the form and structure of animals and plants without regard to function.",Morpolohiko.,Maidap mag'adal nin murpluhiko.,It is difficult to study morphology.,ADJ,
murpuluhya,adj,The branch of linguistics that deals with the internal structure and forms of words with syntax.,Morpolohiya; palabuuan; palaanyuan.,Matkap a adalen amurpuluhyanin susarita' pigaw matandaan a ararem a kabalikasan ra tan panalaysay.,It is necessary to learn themorphologicalfrom of words to know the deeper meaning of words and sentence structure with syntax.,ADJ,
murtal,adj,"Mortal, having the quality of dying or ending.",Mortal; may kamatayan.,Murtal yay tawo nin main patiti.,The person that faces death is mortal.,ADJ,
murtalidad,n,Death rate.,Mortalidad.,Nagsikabarang a murtalidad ran uayep.,The mortality rate of different animals varies.,NOUN,
muryatiko,n,"Muriatic acid, a poisonous acid used in cleansing comfort rooms and to dissolve calcium deposits.",Asido muryatiko.,No ilawok mo sa ranom amuryatikosumbo sa bayani ni samal na.,"Whenmuriatic acidis poured in water, bubbles are formed which shows that it is poisonous.",NOUN,
musang,n,Asian palm civet with a thick hairy tail.,Musang.,"Saraymusang,maslag a mata ra no yabi.",Thewildcat's eyes shine at night.,NOUN,
musanger,adj,A scowl of anger or displeasure with the brows drawn together and the lips drawn tight.,Galit.,Sabtan sager ni Pedro kanya' musanger yay rupa na.,Pedro is very angry and so his face is a scowl.,ADJ,
musangeran,vl,To scowl at someone.,Simangutan.,Musangeran nayan pirmi a nanay na ta kai raya ipanaliw ikap na.,He is always scowling at his mother since they do not buy toys for him.,VERB,
musika,n,Music.,Musika.,Mabistan reng'en a musika sa kapilya no manugtog saray musikiro.,It is good to listen to the music at church when the musicians are playing.,NOUN,
musikiro,n,Musician.,Musikero.,"Sin nagkandidato ya si Elmer, kinalap nasaray musikiro nin taga Pilar ta manugtog sara.","When Elmer candidated, he got the musicians from Pilar since they played with a beat.",NOUN,
musiko,n,"Musicians, group of people playing instrumental music.",Musiko.,Mas mabista a tugtogmusikodyan tugtog radyo.,It is nicer to listen to the music of musicians than to the radio.,NOUN,
musio,n,"Museum, a building or a place for learned occupation, an institution devoted to the procurement care and display of objects of lasting interest of value, also a place where objects are exhibited.",Museo; myusyum.,Abaw a bakas agamiren sin nu'na a naipadar samusio.,There are many kinds of antique furniture that are displayed in themuseum.,NOUN,
muskada,n,Chewing tobacco.,Muskada.,"Andi' ma ikwa a muskada modsen ta saray a'nak, miikap sara.",Don't put your chewing tobacco there since the children are playing.,NOUN,
muskitiro,n,Mosquito net.,Kulambo.,Usaren moyaymuskitiropigaw kai kamo makayat nin ilek.,Use themosquito netso that you will not be bitten by mosquitoes.,NOUN,
muslo',adj,"For something, such as eyes, stomach, or a container, to be bulging or protruding compared to the norm.",Lumalabas.,Muslo' yay mata na sa kaaakis na.,Her eyes are bulging out from crying.,ADJ,
musmos,adj,For an edge to be worn down and dull or blunt.,Mapurol.,Musmosyay tadem nan kutsilyo.,The edge of the knife isdull.,ADJ,
mustasa,n,"Mustard, a plant whose seeds have a sharp, hot taste.",Mustasa.,Madidintek a bikoymustasa.,Mustardseeds are very small.,NOUN,
mustra,n,"Gesture, expressive motions to communicate something.",Imustra.,Kasan mustra na kanya' makapoy a grado na.,He had no gestures and so his grade was lower.,NOUN,
musyon,n,A formal suggestion made at a meeting.,Mosyon; mungkahi; panukala.,Mabistay musyon ra no magbayli.,Their movement when they dance is beautiful.,NOUN,
muta',n,The dried secretion found in the eye after sleeping or a disease or irritation to the eye.,Muta.,Mimuta'ka yapo' ba'yo mo balawen a muta' nan kapada mon tawo.,Take the sleep out of your eyes first before pointing out the sleep in the eyes of your fellow man.,NOUN,
mutaen,vo,For eye secretions to accumulate making it hard to open the eyes.,Mamuta.,,,VERB,
muton,n,A windlass or drum pulley that a rope wraps on.,Kalo.,Mangusar akon muton no manago' ako sa ararem nin bubon.,I use a winch when I draw water from a deep well.,NOUN,
mutor,n,"An engine, electric or internal combustion.",Makina.,Kai tamoya magawa' ruranan a mutor mi ta kai ya et naigalet a ilisi na.,We are not able to ride on my boat since its propeller has not yet been fastened to it.,NOUN,
mutsatsa,n,"Houseboy, errand boy.",Utusan; mutsatso; katulong; utusan; alilà.,Nalayo yaymutsatsora ta no mi'sa kai raya itra' kanen na.,Their errand boy ran away becuase sometimes they do not leave something for him to eat.,NOUN,
mutso,adj,Having much (usually money).,Makwarta; mapilak; mapera; mayaman; mutso.,"Say tawo no kayadi' nin swildo, ibarita'ra ket mutso sara.",People when they have just got the salary say its a lot.,ADJ,
mutursiklo,n,Motorcycle.,Motorsiklo.,Nanaliw akon ba'yon mutursiklo.,I bought a brand new motorcycle.,NOUN,
muwebles,n,"Household goods - furniture, appliances.",Mwebles; kasangkapan.,Abaw amuweblesnan bali ra ta talagan mayaman sara.,They have costlyfurniturebecause they are rich.,NOUN,
muyek,n,A group or assembly of people.,,Kai ka gapo lumi'mo sa muyek moyo.,Don't become afraid of your group.,NOUN,
mwiblis,n,Furniture.,Muwebles.,Abaw a mwiblis ilako' ra sa palingki.,There is a lot of furniture that they sell in the market.,NOUN,
mwirda,n,"The place, town or country, where one was born or is from and is used to express contempt - dislike, hostility, etc.","Mwerda; lupa o lugar na pag-aari, kinalalagyan o pinanggalingan ng isang tao.",Lumakwan kadti; mako kadtaw samwirdamo!,Get out of here and go back to whereyou came from!,NOUN,
na,pr,Honorific you singular.,Niya.,Ani ngaranna?,What's his name?,ADP,
na'nal,adj,Swollen or bulged because of an injury.,Namaga.,Na'nalyay bisit ko ta nitugtog ya sa bangko.,My legs isswollenbecause it was hit against the bench.,ADJ,
naamawan,vst,"Fatherly, of a father.",Makaamà; parang ama.,Naamawana pangasikaso nan Dios kontamon pirmi.,God's concern for us is alwaysfatherly.,VERB,
naapon,n,Yesterday.,Kahapon.,Nibwat yan nako sa Manilanaaponsin buklas.,He left for Manilayesterdaymorning.,NOUN,
nabo',n,A down payment.,Hulog.,Mabistay nabo' ko nin irik no mama'sek.,My method of dropping the rice seeds when we did the dryland farming was good.,NOUN,
nabuan,vl,To voluntarily drop something on something..,Hulugan.,Nabuan kwan mapulo' a pisos a alkansya ko nin sindo Birnis.,I drop ten peso into my personal bank every Friday.,VERB,
nabuley-buley,vst,Bunched together.,Nakumpol-kumpol.,Nabuley-buleya batag a mula ra sa pukok ra.,There are bunches and bunches of bananas that they planted in their yard.,VERB,
nadiosan,vst,Divine or godly.,Banal.,,,VERB,
nag'adalan,vl,A person or a place someone has learned from or studied.,Pinag-aralan.,Si nanay na niAndreaa nag'adalan nan mag'in nin maong mangluto'.,Andrea learned from her mother how to be a good cook.,VERB,
nagkapagalan,va,To come from the toil or work put into something.,Pinagpaguran.,Si'kaymamilita bunga nin nagkapagalan mo.,You are the one to set thepricebecause they are the fruit of your toil.,VERB,
nagkarol,va,To carol raising money.,Nagkaroling.,"Saray nagkarol naon ket ibat sara sa Carot, Anda ket nami ako tamo' singkwinta.",Those that caroled earlier were from Carot in Anda and I only gave fifty centavos.,VERB,
nagpyawan,vl,To depend on something.,Pagkatiwalaan.,"Bale', no si sayan mas maksaw dyan sya ket kalabanen tan daegen ya, galten nan siti a armas nin nagpyawan na ni Satanas, mi'sa na nin taw'e-taw'en a main na.","But, if one who is stronger than he fights against and defeats him, this one will remove his weapons Satanas trusted in, then he will divide his possessions.",VERB,
nagrason,va,To give a reason for something.,Nagrason.,"Bilang wadi', sin anak ako et, nag'irgo akon inaanak; say pinanakem ko ket inaanak; nagrason akon inaanak.","For an example, when I was still a child, I spoke like that of a child/in a childish way; my thinking was like that of child/was childish.‎‎I reasoned out like that of a child/in a childish way.",VERB,
nagrider,vst,To have leveled something with a grader.,,Mamatag akon nagrider nin kalsada.,I leveled the roadway by grading it.,VERB,
nagsasakit,va,To have a tendency to be sick.,,"Bana' sa masyadon trabaho,nagsasakitya.","Because of excessive work, she has a tendency to always be gettingsick.",VERB,
nagsi-nagsi,va,To live in a self-reliant or centered manner and so be uncooperative and deliberately ignoring one's responsibility to another person or group.,Makasarili.,Rabay nay magbukud-bukod ta nagsi-nagsi ya.,She likes to be alone since she is self-seeking.,VERB,
nagsiarak,va,To flock as a whole group.,,"Sin narnge' raytaw a rumaweswes, nagsiarak saran nididinep itaw.","When they heard that sound of a blowing wind, they flocked gathering together there.",VERB,
nagsiawit,va,To come as a single group carrying something.,Nagsidala.,Nagsiawitsara nin rigalo ra konan prinsisa.,They came as a whole carrying their gifts to the princess.,VERB,
nagsiburyaw,va,To shout as a unified group.,Magsisigaw.,"Bale' sin nitambay nasarayna, nagsiburyaw saray Judio a wanra, <<Patyen ya in a tawo!>>","But when he made mention about them, theJewsshouted together saying, <<Kill that person!>>",VERB,
nagsiibwat,va,To leave as a whole group.,Nagsialis.,"Sin nagsiibwat saraynay tutawo, nabati' saray labinrwa pati saray raruman tumutumbok na.","When the people had left in one accord, the twelve including the other disciples were left.",VERB,
nagsikabarang,adj,"Various, different things.",Ibàt-iba.,Nagsikabaranga klasi nin kuna' iti sa Bolinao.,There arevarious kindsof fish here in Bolinao.,ADJ,
nagsili'mo,va,To cause fearfulness.,Magsitakot.,Gulpi nin linta' itaw sa subor ket nagsili'mo nin maryo'.,There are many leeches there in the spring and so it is fearful to bathe.,VERB,
nagsipako,va,To go someplace as a whole group.,Nagsipunta.,Saray tutawo nagsipako sara nin kumikit sa nangyadi'.,The people went in one accord to see what happened.,VERB,
nagsipalayo,va,To flee as a group.,Nagsitakbo.,Ket nagsipalayo sara nga'min a tumutumbok na tan linakwanan raya si Jesus.,And then his disciples in one accord fled and abandoned Jesus.,VERB,
nagsipurot,va,To pick something up as a group.,Nagsipulot.,"Konan siin, sa ikarwan parso, nagsipurot saran bato a Judio ta pigaw nin kudasen raya si Jesus.","At that, for the second time, the Jews in one accord picked up stones in order to throw them at Jesus.",VERB,
nagsirate',va,To arrived with one accord.,Nagsidating.,"Bana' konan siin nin nangyadi', nagsirate' saray raruma et nin main nin masakit itaw sa isla, ket pinaanda' nasara nga'min.","Because of what happened, those others there in the island who were sick came with one accord as well, and he caused them all to be healed.",VERB,
nagsisubli',va,To return collectively.,Nagsibalik.,"Sinmunor, nagsisubli' saraynay tumutumbok sa kami'nan ra.","Following that, the disciples of one accord returned to their residences.",VERB,
nagsitepet,va,To ask collectively.,Magsitanong.,"Sin sain, nagsitepet sara a wanra, <<Si'ka edet a Anak nan Dios?>>","At that point, they asked saying, <<Are you then the Son of God?>>",VERB,
nagsitepetan,vl,To asking about something with each other.,Nagsitanungan.,Ket nagsitepetan sara no si'no kadi' konra a mampangiplanon siin.,And so they asked each other who it could be among themselves that might be planning that.,VERB,
nagsitumbok,va,To follow with one accord.,Nagsisunod.,Kanya' nin naka'ngapan rayayti nga'min nin tutawo sa mundo ket nagsitumbok sara kona.,Therefore every person here in the world was amazed at that and so they with one accord followed him.,VERB,
nagtuluyan,va,To rent out a room for someone to stay in.,Nagtuluyan.,,,VERB,
naikaigalutan,vst,To be bound to something..,Nakatalian.,,,VERB,
naikapetan,n,The husband or wife of a sibling.,,,,NOUN,
naikerker,vst,To have been tethered by something.,Naipulupot.,Balukas a rimidyo konan natumban naikerker nin baka.,Its release is the remedy for the tethered cow that toppled over.,VERB,
naikitakeran,vst,Connectivity.,,,,VERB,
nailaltog,vst,To be given a hard bump.,,Narindi yay utek na ni Junior sin nailaltog ya sin nadisgrasya ya.,Junior's brain was injured when he was give a hard hit in the accident.,VERB,
nailutaan,vst,Earthly focused.,Makamundo.,Nailutaan a pigagawa' ran tutawo a kasan naispiritwan a kapapa'sar.,The conduct of people without a spiritual life is earthly focused.,VERB,
naimatawan,vst,To have observed and thus obeyed something from the very day you were born that you had seen your parents or those around you doing.,Maobserbahan.,Wanin ta simbot nakamo sa kasan piku'kaan nin kabibyay a naimatawan moyo konran pupuon moyo.,That's the case since he redeemed you from a way of life without meaning which you observed and thus obeyed from your ancestors.,VERB,
naimatiryalan,vst,"Materials, what a thing is made of, things needed.",Sangkap na ginamit; kagamitan.,,,VERB,
naipaluob,vst,For something to have been put inside something.,Naipasok.,,,VERB,
naipaskin,vst,To be given as an announcement of something.,Naihayag.,Si naipaskin sa plasa a pakabasawan nin patanda' sa bakuna no Sabado.,What was announced in the plaza was the reading of the notice of the vaccination on Saturday.,VERB,
nairuma',vst,To have place fish traps in position.,,"Galaten anaynairuma'ket li' no naglat ana nga'min, tapigwen saray kuna' ket nakalap sarayna.","The fish-traps that have been laid will be removed and so later when everyone has been removed, the fish will be netted and caught.",VERB,
naisyang,vst,"To be cooked, usually over an open fire pot.",Naisaing.,,,VERB,
naituru'-turo',vst,To be seeping out of something.,Naitulo-tulo.,Naituru'-turo' a ranom sin nanago' ako ta butbot yay lata.,The water seeped out of the can when I bathed since it had holes in it.,VERB,
naiyakir,vin,For slates to be bound together.,,,,VERB,
naka,procl,He/she and you sg.,Ka niya.,Mako ka mamasyar koni baying mo ta rabay naka nin ma'kit.,Go visit your grandmother for she wants to see you.,PART,
nakaadalan,via,To be able to learn from something.,Makapag-aral.,"Kala-kalamo' naya anamaet ni Apostol Pedro ket wanran tutawon nangadal konan Biblia, si Pedro a nakaadalan na ni Marcos maipa'ka' sa ginwa' tan niyakay na ni Jesus.","Mark was also a close companion of the Apostle Peter and so according to what the people who have studied the Bible say, Pedro was the one who instructed Marcos concerning what Jesus did and taught.",VERB,
nakaalasid,via,The formation of a process.,Nakasunod-sunod.,,,VERB,
nakaaprak,via,To spread out.,Nakalatag.,Say pilos yay abel nakaaprak sa tukduan nan adi'.,Velvet is the cloth that is spread all over where the king steps on.,VERB,
nakaayos,via,To have been put together in an appropriate manner.,Nakaayos.,,,VERB,
nakaaysing,via,To be dressed in something.,Nakadamit.,Sin linumwa' yay anak sa kwarto nakaaysing yan aysing na ni nanay na.,When the child came out of the room she was wearing her mother's dress.,VERB,
nakababo,via,To be able to have something resting on a surface.,Nakaibabaw.,Naka'deng sara nakababo a libro sa gamet ra.,They stood with books resting on their hands.,VERB,
nakabakian,n,To mission.,,"Sara si Marcos, Bernabe tan Pablo ket nikakalamo' sara sin u'nan parson naku-nako ya si Pablo nin nakabakian na sa saka-sakalakon lugar.","Marcos, Bernabe and Pablo they companioned together when/on the first journey of Pablo on his mission to various places.",NOUN,
nakabaklis,via,To backless.,,Mangkibayli yay balasang anakabaklis.,The lady is dancing with them in a backless dress.,VERB,
nakabalaybay,via,To be able to hang something on a line.,Nakasampay.,Iluob ko sa bali a pini'pian nin nakabalaybay sa liwa' ta rumapeg ana.,I'll bring the laundry that had been hung out into the house since it is raining.,VERB,
nakabawtismwan,via,To be baptized into something.,Nakabawtismuhan.,"No wanin, ani a nakabawtismwan moyo?",If that is so what were you baptized into?,VERB,
nakabeneng,via,To bring bolos.,Nakaitak.,"Ket wana ni Jesus konran tutawo, <<Saya ako para nin kriminal ta nakabeneng kamo tan main nin pekpek moyo nin manakep kongko?","And then Jesus said to the people, <<Am I a criminal that you are armed with bolos and carrying clubs to arrest me?",VERB,
nakabisti,via,To be dressed elegantly.,Nakabisti.,"Wow! Adti keen mo;nakabistika, a!","Wow! Where are you going; you're dressed so elegantly, yah!",VERB,
nakabtek,vst,To are a bundle.,Nakabigkis.,Lima katan'ay a pari mabilang yan nakabtek.,Five katan'ay; five bound stalk of unthreshed rice each composed of 6 ping'ey.,VERB,
nakabuti,via,For something to have been bottled.,Nakabote.,Si Mars ket mangidipusito yan limay pisos no manaliw yan supdringk nin nakabuti.,Mars leaves a deposit of five peso when he buys a bottled soft drink.,VERB,
nakaiberberan,via,To be able to be tied to something.,,,,VERB,
nakaisukugan,via,To be able to place in a fitted covering.,,,,VERB,
nakaisuntawan,via,The joined area where something has been lengthened.,,,,VERB,
nakakikit,via,To to be able to be watching something.,Nakatingin.,,,VERB,
nakalinya,via,To be able to form a line.,Nakalinya.,,,VERB,
nakami,procl,He or she and us not you.,Niya kami.,No mababaan mo kadi' ket panginga'do mo pa ta tulungan nakami!,If perhaps you are able would you please help us!,PART,
nakamik'ap,via,To have put on make-up.,,"Si Nena, mangibwat ya,pinirmiyan nakamik'ap.",Nena leaves andalwayshas been made up,VERB,
nakamusanger,via,To scowl about something.,Nakasimangot.,Nakamusanger ka mana nin kabubuklas; umimis ka kadi'.,You are scowling again this morning; you should smile.,VERB,
nakapadar,via,To be able to be exposed or obvious.,Nakalabas.,"Sarba nga'min, nakapadar sa pangingikit na, tan kona, kikwintawan atamo sa sarba.","Every single thing, is exposed in his sight, and to him, we give an exact account of it all.",VERB,
nakapitanda-tandaan,via,To gotten well acquainted.,Nagkakila-kilala.,Nakapitanda-tandaan kami na nin na'teng.,We already knew each other for a long time.,VERB,
nakapitatanda',n,To be able to thoroughly get to know something.,Nagkakilanlan.,Sa kapilya kami tamo' nin nakapitatanda' nin uamigo ko.,It is only in our church that we have been able to really get to know our friends.,NOUN,
nakasa'bit,via,To be able to hang something on something such as a hook.,Nakasabit.,Nakasa'bit yay kaputi sa pasak sa danin purta.,The raincoat was hung on a nail close to the door.,VERB,
nakasa'lay,via,To be draped over the neck and shoulder area.,Nakasabit sa balikat.,Nakasa'lay yay ambag ko sa abaya ko.,My handbag was slung over my shoulder,VERB,
nakatalikepkep,via,To fold one's arms across his chest.,Nakahalukipkip.,,,VERB,
nakatangil,via,To be able to block or  restrain another thing from moving out of its desired position.,Sagabal.,Kai ya maiwas gapo ta mainnakatangil.,It cannot be shaken because there is a restraint.,VERB,
nakem,n,"The conscience, mind or will which also deals with the feelings and desires, the inner person.",Kaibuturan.,Kasannakemnan magtrabaho.,He has no will to work.,NOUN,
naketeg,vst,To be limited.,,,,VERB,
nakristyanwan,vst,To be that which is considered Christian in values and actions.,Kristyano.,Gumawa' tamo kumon ninmaitukoysa akay a nakristyanwan.,Let us do thingsconsistentwith Christian teachings.,VERB,
nalo',adv,For somethingdangerousto nearly happen.,Kamuntik.,Nalo'ya nipalkeb a mutor nin rinuranan mi sin nako kami sa Lucero.,The motor boat we were riding nearly capsized when we went to Lucero.,ADV,
nalpay,adj,Branches of plants or trees that are broken but not entirely separeted from the trunk.,Magpatirapa.,Nalpaya pala'pa' batag.,The babana leavesbreakdowntheir branches.,ADJ,
namagtrabaho,va,To tell or make someone work.,Nagpatrabaho.,Bere-bere saran nangrisibi nin upa' ra ket kuntra sara konan namagtrabaho konra.,"They murmured as they received their salary, saying things against the one who had hired them.",VERB,
namuyek-muyek,n,A multitude such that it can't be counted.,Marami.,,,NOUN,
nanadek,va,To proliferate.,Marami.,"Nanadeka tawo, kai koya na'kit a kalamo' ko.",The crowds proliferated; I could not see my companion.,VERB,
nanay,n,Mother (this is usually a term of address).,Nanay.,Mama'wit ako nin surat konannanayko.,I will send a letter to mymother.,NOUN,
