Tuwali Words,Root Word,,Affixes,,English Translation,Tagalog Translation,Meaning,Part of Speech
katnay,katna,-,-,-y,amount,halaga,a quantity of something,Noun
katoona,toon,ka-,-,-a,same age,parehong edad,having an equal number of years or age,Adjectives
kattad,kattad,-,-,-,trap,bitag,to catch fish with a kattad fish trap,Verb
kattig,kattig,-,-,-,raise,itaas,to lift a hand,Verb
kattog,kattog,-,-,-,is that so?,ganon ba?,"expression of a feeling of uncertainty; also, there can be a sense of futility based on the inability to fulfill expectations or the futility of an action; futility; uncertainty",Interjection
kaud,kaud,-,-,-,paddle,magtampisaw,to paddle a boat in order to move; to row a boat,Verb
kaungana,unga,ka-,-,-na,childhood / youth,kabataan,the period of being a child,Noun
kawa,kawa,-,-,-,wasted,nasayang,for something to be wasted,Verb
kawad,kawad,-,-,-,chain,kadena,to use or attach a chain,Verb
kawadan,wada,ka-,-,-na,place to get / to have,lugar para makakuha,"a location where something can be kept, found, or experienced",Noun
kawal,kawal,-,-,-,harrow,harrow,to prepare a field with a harrow,Verb
kawin,kawin,-,-,-,bring,dalhin,to take along someone or something,Verb
kawit,kawit,-,-,-,hook,kawit,to hook something,Verb
kawitan,kawitan,-,-,-,rooster,tandang,an adult male chicken,Noun
kawot,kawot,-,-,-,grasp,hawakan,to hold fast; to grasp,Verb
kawwan,kawwan,-,-,-,keep,panatilihin,to keep something for oneself,Verb
kay,kay,-,-,-,seem,parang,to give a certain impression,Verb
kay ahan,kay ahan,-,-,-,finally,sa wakas,at the end; ultimately,Adverb
kaya,kaya,-,-,-,able,kaya,"having the skill, power, or means to do something",Adjectives
kayabang,yabang,ka-,-,-,arrogantly,mayabang,in a proud or conceited way,Adverb
kayabkab,kayabkab,-,-,-,flap,flap,to flap wings,Verb
kayam,kaya,-,-,-m,you can,kaya mo,"expresses that someone has the ability, skill, or power to do something",Verb
kayam-ut,kayam-ut,-,-,-,cling,kumapit,refers to roots of plants clinging to soil or rocks; vines clinging to trees or other plants,Verb
kayana,kaya,-,-,-na,he/she can,kaya niya,"expresses that someone has the ability, skill, or power to do something",Verb
kayatona,kayat,-,-,-ona,will climb,aakyatin,"indicates that someone is going to move upward on something, such as stairs, a hill, or tree, in the future",Verb
kayngot,kayngot,-,-,-,nod,tumango,facial expression of firm lips and the gesture of nodding the head from time to time gives authority to speech,Verb
kaynit,kaynit,-,-,-,shocked,nagulat,"greatly surprised, upset, or affected",Verb
kayta,kayta,-,-,-,it is like,tayo’y parang,"Comparison marker, “like / as if”",Conjunction
kayu,kayu,-,-,-,you,kayo,"plural; second person, plural",Pronoun
kayu ken,kayu,-,-,-ken,you,kayo,Pronoun,Pronoun
ke,ke,-,-,-,"if; marks a conditional clause, hypothetical or real",kung,"A common conditional word used to introduce a clause that states a condition, which may be either a hypothetical or a real possibility.",Conjunction
ke dakami,ke dakami,-,-,-,us,kayo,"first person, plural exclusive",Pronoun
ke dakayu,ke dakayu,-,-,-,you,tayo,"plural; second person, plural pronoun",Pronoun
ke dida,ke dida,-,-,-,them,kayong lahat,"third person, plural pronoun",Pronoun
ke dita,ke dita,-,-,-,us-two,sila,"first person, dual pronoun",Pronoun
ke ditaku,ke ditaku,-,-,-,us-all,tayong dalawa,"first person, plural inclusive",Pronoun
ke he-a,ke he-a,-,-,-,you,tayong lahat,"singular; second person, singular pronoun",Pronoun
ke hiya,ke hiya,-,-,-,"him, her, it",ikaw,"third person, singular pronoun",Pronoun
ke'y,ke'y,-,-,-,(emphasis particle),nga / din,"a particle used to emphasize or add stress to a word or phrase (e.g., oo nga, ako din)",Conjunction
kedaka,daka,ke-,-,-,you,kayo,"singular; the form is a compound of the marker e and the 2nd person, singular personal pronoun",Pronoun
kedakami,dakami,ke-,-,-,we,tayo,exclusive; the form is a compound of the marker e with the 2nd person plural exclusive personal pronoun,Pronoun
kedakayu,dakayu,ke-,-,-,you,kayong lahat,plural; the form is a compound of the marker e and the 2nd person plural personal pronoun,Pronoun
kediye,kediye,-,-,-,At that time,sa oras na iyon,refers to a time or place distant from both speaker and hearer,Pronoun
kediyen,kediye,-,-,-n,At that time,sa oras na iyon,refers to a time or place distant from both speaker and hearer with the linker an,Pronoun
kediyey,kediye,-,-,-y,At that time,sa oras na iyon,refers to a time or place distant from both speaker and hearer with the linker di or its allomorph y,Pronoun
keke,keke,-,-,-,swim,lumangoy,"to move oneself in water, propelling onself with arms and legs; swim",Verb
keket,keket,-,-,-,squeak,tili,"to squeak; to produce squeaking sound of loose flooring, rubbing of tree branches, rusty hinges of doors and windows",Verb
keko,keko,-,-,-,call,tawag,to call pigs,Verb
kelelang,kelelang,-,-,-,clang,clang,to clang; sound of metal dropped or rolled on hard surface; the clinking or jingling of metal especially coins,Verb
ken,ken,-,-,-,that,na,used to identify or point to something specific,Noun
kenae,kenae,-,-,-,that,iyan / iyon,the form occurs without determiners or linkers only at the end of sentences,Pronoun
kenaen,kenae,-,-,-n,that,yaon / iyon,the form is based on kenae,Pronoun
kenaey,kenae,-,-,-y,that is,iyan ay / iyon ay,a demonstrative predicate based on kenae,Pronoun
ket,ket,-,-,-,and / also,at,used to connect words,Conjunction
ketema,ketema,-,-,-,ritual,ritwal,to perform the ritual; may also refer to the one who performs the ritual,Verb
ketuwe,ketuwe,-,-,-,At this time,sa oras na ito,refers to a time or place that has previously been introduced into the communication;,Pronoun
kibalinan,balin,ki-,-,-an,meaning; interpretation,kahulugan; interpretasyon,"meaning or explanation of a figure of speech, proverb, or obscure saying; often used to convey social or cultural significance",Noun
kibangngadan,kibangngad,-,-,-an,time,oras,"with this affix, there is a cross-referencing of a time or a question of time of return",Verb
kibangngadanyu,bangad,-,-,-,when you return,sa inyong pagbabalik,refers to the time or occasion when someone comes back to a place,Verb
kibit,kibit,-,-,-,pinch,kurutin,to pinch someone,Verb
kiblat,kiblat,-,-,-,ankle-deep,lalim ng bukung-bukong,to become ankle deep in water and stony when soil is removed,Verb
kiblu,kiblu,-,-,-,level,antas,to prepare rice field before transplanting seedlings; to level the ricefield,Verb
kibul,kibul,-,-,-,sediment,latak,to have sediment in water,Verb
kibyayong,kibyayong,-,-,-,oscillate,umindayog,refers to the oscillating motion of water in a pond; the back and forth movement of water,Verb
kid-ing,kid-ing,-,-,-,wink,kumindat,to wink an eye,Verb
kidhap,kidhap,-,-,-,level,antas,to cut off part of board to make level,Verb
kidlo,kidlo,-,-,-,scarecrow,panabong,"any scarecrow objects, used to frighten rice birds",Noun
kidul,kidul,-,-,-,thunder,kulog,to produce the sound accompanying lightning; to thunder,Verb
kidung,kidung,-,-,-,wobble,umaalog-alog,"movement of things due to improper footing, e",Verb
kiggad,kiggad,-,-,-,boundary marker,hangganan,boundary marker; trees or stones placed to mark land boundaries,Noun
kigwa,kigwa,-,-,-,rinse,banlawan,to rinse something in water,Verb
kihal,kihal,-,-,-,move,gumalaw,to move self,Verb
kihandagan,handagan,ki-,-,-,lean / back against,sandalan,to rest or incline against something,Verb
kihang,kihang,-,-,-,loose,maluwag,to be loose fitting,Verb
kihil,kihil,-,-,-,graze,pastulan,"to graze or to touch someone lightly on the body, may be done when passing by",Verb
kihob,kihob,-,-,-,wobble,umaalog-alog,"movement of things due to instability, e",Verb
kihpul,kihpul,-,-,-,jar,banga,"to strike someone or to be hit with something falling, causing a jarring pain to the bones",Verb
kik-i,kik-i,-,-,-,scratch,scratch,to scratch,Verb
kikiphodan,kiphod,ki-,-,-an,become better/good,maging mas mabuti,to meet a standard of something to be desired or something that is favorable for someone;,Noun
kikkiho,kikkiho,-,-,-,fungus,halamang-singaw,to have skin fugus,Verb
kil-at,kil-at,-,-,-,lightning,kidlat,natural electrical discharge in the air; lightning,Noun
kili,kili,-,-,-,curly,kulot,to have naturally curly or kinky hair,Verb
kilib,kilib,-,-,-,touch,hawakan,to touch many things,Verb
kililing,kililing,-,-,-,tinkle,kumikiliti,a tinkling sound,Verb
kilip,kilip,-,-,-,squint,duling,to look at something with eyes partly closed; to squint when looking at something,Verb
kilkil,kilkil,-,-,-,file,file,to sharpen with a file,Verb
killu,killu,-,-,-,curve,kurba,"to curve or be curved, e",Verb
kilnat,kilnat,-,-,-,boil,pakuluan,to boil the fat or innards of animals in water,Verb
kilog,kilog,-,-,-,provide,ibigay,to provide food for sustenance resulting in stamina and strength,Verb
kilut,kilut,-,-,-,murky,madilim,to stir up sediment in a liquid and cause it to become murky,Verb
kimat,kimat,-,-,-,struck,tinamaan,to be to be struck by lightning,Verb
kime,kime,-,-,-,lice,kuto,to have lice,Verb
kimit,kimit,-,-,-,close,malapit na,to close the eyes,Verb
kimkimit,kimkimit,-,-,-,twinkle,kumislap,to twinkle,Verb
kimma,kimma,-,-,-,chew,ngumunguya,to chew betelnut; implies going to chew with someone because one is lacking some part of a 'chew'; sharing what one has and talking are two important meaning components of this word,Verb
kimmat-agu,kimmat-agu,-,-,-,adult,nasa hustong gulang,has become an adult; adulthood ranges from about - years old,Verb
kimmayat,kayat,-,-im-,-,climbed,umakyat,"moved upward on something, such as stairs, a hill, or tree",Verb
kimmaynit,kaynit,-,-im-,-,surprised,nagulat,"experienced an unexpected event, causing shock, astonishment, or amazement",Verb
kimmobkob,kobkob,-,-im-,-,got nervous,kinakabahan,"became anxious, apprehensive, or uneasy about something",Verb
kimmodhol,kimmodhol,-,-,-,hardened,tumigas,has become hard,Verb
kimmulhi,kulhi,-,-im-,-,stiff / rigid,nanigas,not flexible,Adjectives
kimmuliyap,kulyap,-,-im-,-,snob,mayabang,"a person who thinks they are superior to others, often looking down on people",Noun
kimong,kimong,-,-,-,scratch,scratch,"to scratch with fingers, claws or talons",Verb
kinaan,kaan,-,-in-,-,remove,alisin,to take something away from a place or position,Verb
kinabilog,ambilog,kin-,-,-,width,lapad; lawak,measure of something from side to side,Noun
kinahon,kahon,-,-in-,-,crate,kaing,crated; items are placed in wooden crates,Verb
kinali,kinali,-,-,-,that is why; therefore; thus,"kaya, kung kaya, samakatuwid",A conjunction used to indicate a result or a conclusion based on a preceding statement.,Conjunction
kinaongngal,ongal,kina-,-ng-,-,the biggest,pinakamalaki,"refers to something of the greatest size, extent, or magnitude compared to others",Adjectives
kinayan,kaya,-,-in-,-n,able,kaya,"having the skill, power, or means to do something",Adjectives
kingke,kingke,-,-,-,lamp,lampara,to use lamp,Verb
kingking,kingking,-,-,-,ring,singsing,to ring a bell,Verb
kingngao,kingngao,-,-,-,empty,walang laman,to be empty; an empty room or space,Verb
kintong,kintong,-,-,-,chopping,pagpuputol,sound of chopping or cutting trees,Verb
kinumtol,kotol,-,-,-,became cold / chilly,guminaw,To feel cold / the weather turned cold,Verb
kip'hodan,pohod,ki-,-,-an,welfare of,kapakanan,refers to the good or welfare of someone.,Noun
kipil,kipil,-,-,-,clasp,kapit,to clasp something with hand or under the arm,Verb
kiput,kiput,-,-,-,control,kontrol,to hold back urine or bowels; to control the movement of urine or feces,Verb
kiskis,kiskis,-,-,-,thresh,maggiik,to thresh rice by machine; to mill rice,Verb
kit'i,kit'i,-,-,-,rustling,kaluskos,"rustling sound made by insects, animals or man's movement",Verb
kiting,kiting,-,-,-,pinch,kurutin,to pinch someone,Verb
kitkitog,kitkitog,-,-,-,gather,magtipon,to gather small kitkitog bats,Verb
kitob,kitob,-,-,-,bedbug,surot,bedbug,Noun
kittong,kittong,-,-,-,knocking,kumakatok,to make knocking sound with shoe heels on hard surface,Verb
kitug,kitug,-,-,-,rattling,dumadagundong,to make the sound of rattling; to rattle,Verb
kiwa,kiwa,-,-,-,stir,gumalaw,to stir; to mix things together by stirring,Verb
kiwang,kiwang,-,-,-,aside,sa tabi,to move out of the way; step aside,Verb
kiwil,kiwil,-,-,-,divert,ilihis,to divert water from an iriigation ditch,Verb
kiwol,kiwol,-,-,-,carry,dalhin,to carry something under the arm,Verb
kiyaki,kiyaki,-,-,-,itchy,makati,to be itchy,Verb
kiyung,kiyung,-,-,-,frown,sumimangot,to frown,Verb
klase,klase,-,-,-,different,magkaiba,to be different classes of an object,Verb
klinik,klinik,-,-,-,consult,sumangguni,to consult and conduct medical examinations,Verb
kob-al,kob-al,-,-,-,yard,bakuran,area at the side of the house; yard,Noun
kobkob,kobkob,-,-,-,nervous,kinakabahan,"feeling anxious, apprehensive, or uneasy about something",Adjectives
kobog,kobog,-,-,-,thud,kumalabog,a thudding hollow sound of something heavy that falls,Verb
kobol,kobol,-,-,-,movement,paggalaw,the movement of a fetus inside the womb; fetal movement,Verb
kodhol,kodhol,-,-,-,hard,mahigpit / mahirap,with great force or difficulty,Adverb
kodhol,kodhol,-,-,-,stiff,matigas,not easily bent or changed in shape; rigid,Adjectives
kodkod,kodkod,-,-,-,tie,itali,to tie an animal close to a post,Verb
kodo,kodo,-,-,-,beggar,pulubi,to be a beggar; refers to someone who is always asking/begging for something,Verb
kodom,kodom,-,-,-,closing,pagsasara,refers to the closing of the eyelid,Verb
kodot,kodot,-,-,-,poison,lason,poison,Noun
kodyam,kodyam,-,-,-,blink,kumurap,"may refer to any flash of light that blinks on and off, e",Verb
kodyat,kodyat,-,-,-,raise,itaas,to raise eyebrows; sometimes used as a communicative gesture,Verb
kohal,kohal,-,-,-,bite,kumagat,to break something by biting,Verb
kohat,kohat,-,-,-,cut,gupitin,"to cut long thin things, ropes, strings, wires",Verb
kohop,kohop,-,-,-,fly,lumipad,to fly low; to be low in the air,Verb
kok,kok,-,-,-,drink,inumin,to drink soft drinks,Verb
kokak,kokak,-,-,-,croak,croak,calling sound emitted by frogs,Verb
Kokakola,kokakola,-,-,-,drink,inumin,to drink Coca-cola,Verb
kokol,kokol,-,-,-,call,tawag,to call for chickens,Verb
kol-o,kol-o,-,-,-,fear,takot,"fear, sudden and unexplainable; may be a premonition accompanied by a fear that can't be explained",Verb
kolan,kolan,-,-,-,kolan,kolan,to perform the kolan ritual for a particular building,Verb
kolang,kolang,-,-,-,worms,mga uod,to have roundworms in stomach,Verb
kolbata,kolbata,-,-,-,wear,magsuot,to wear a necktie,Verb
kolda,kolda,-,-,-,epilepsy,epilepsy,to have epilepsy,Verb
kolehiyo,kolehiyo,-,-,-,attend,dumalo,to attend college,Verb
kolget,kolget,-,-,-,brush,brush,to use toothpaste to brush teeth,Verb
kolong,kolong,-,-,-,butcher,magkakatay ng karne,to butcher by cutting the animal's neck,Verb
kolot,kolot,-,-,-,haircut,gupit,to perform the haircut ceremony,Verb
koltina,koltina,-,-,-,curtain,kurtina,to place a curtain,Verb
koltog,koltog,-,-,-,boundary,hangganan,to place a boundary; to mark a boundary of property,Verb
kolwa,kolwa,-,-,-,delicious,masarap,"to be delicious, refers to food like pastries, cassava, and sweet potatoes",Verb
kolyog,kolyog,-,-,-,shake,iling,the moving of the surface of the earth;shaking of earth due to an earthquake,Verb
kom'ong,kom'ong,-,-,-,scratch,scratch,to scratch,Verb
kompay,kompay,-,-,-,mow,mow,to cut grass,Verb
kompesal,kompesal,-,-,-,confess,umamin,refers to the religious concept of confessing sins,Verb
kompra,kompra,-,-,-,arbitrage,arbitrage,"to buy and sell at a higher price, work as a middleman",Verb
kon,kon,-,-,-,Is,ay,"question marker, marks a yes-no question, usually used for confirming; may also be used as a rhetorical question marker",Pronoun
kon'an,kon,-,-,-an,rarely,bihira,not often; seldom,Adverb
Kon'nin,kon,-,-,-nin,perhaps,marahil,Maybe / possibly,Adverb
kona,kona,-,-,-,trap,bitag,to trap or ensnare an animal or bird,Verb
konan,konan,-,-,-,cause,dahilan,to bring about a rare event,Verb
kongkong,kongkong,-,-,-,hit,tamaan,"to hit on the head with an instrument that is round, flat, or square",Verb
konlag,konlag,-,-,-,tender,malambing,cooked rice that is neither hard nor soft,Verb
konoknong,konoknong,-,-,-,estimate,tantyahin,to estimate; to approximate,Verb
konong,konong,-,-,-,sacrifice,sakripisyo,to give an offering to a maknongan god; sacrifice to a maknongan god,Verb
kontad,kontad,-,-,-,invoke,panawagan,"a ritual word meaning 'to call to', used only of the supernatural messengers of the gods",Verb
kontalata,kontalata,-,-,-,contract,kontrata,to bid for a contract and be the contractor to work on it,Verb
kopal,kopal,-,-,-,press,pindutin,to press liquid from sugarcane using the cane press,Verb
kophat,kophat,-,-,-,pale,maputla,to be pale,Verb
korsonada,korsonada,-,-,-,intend,balak,to intend to do something bad to someone,Verb
kotkot,kotkot,-,-,-,chew,ngumunguya,"to chew uncooked food; rice, corn, camote and soft bones",Verb
kotol,kotol,-,-,-,cold,malamig,"not affectionate, cordial, or friendly; unresponsive.",Adjectives
kotom,kotom,-,-,-,grind,gumiling,to grit or grind teeth,Verb
koy'e,koy'e,-,-,-,loosen,lumuwag,to loosen the knot of something that is tied,Verb
koyang,koyang,-,-,-,squirm,namimilipit,movement that resembles that of a worm; to squirm; to wriggle,Verb
koynon,koynon,-,-,-,shrink,pag-urong,for cloth to shrink,Verb
koyom,koyom,-,-,-,tighten,higpitan,to tighten belt or torniquet,Verb
Krismas,krismas,-,-,-,Christmas,Pasko,to spend Christmas in a place,Verb
kuarta,kuarta,-,-,-,money; cash,per­a; salapi,money; cash,Noun
kub-it,kub-it,-,-,-,insert,ipasok,to insert something in belt or waistband,Verb
kubhil,kubhil,-,-,-,sprained,sprained,"to be sprained, a muscle or a body joint",Verb
kubi,kubi,-,-,-,cage,kulungan,cage for chickens; usually hung under the native houses,Noun
kudang,kudang,-,-,-,insufficient,kulang,to be insufficient; inadequate; not enough; lacking,Verb
kudang/kurang,kudang/kurang,-,-,-,lacking,kulang,wanting; deficient.,Adjectives
kudapul,kudapul,-,-,-,frostnip,frostnip,the powdery whitening of skin due to cold,Verb
kudep,kudep,-,-,-,smoldering,umuusok,smoldering fire,Verb
kudilap,kudilap,-,-,-,mossy,malumot,to have slippery moss on stones,Verb
kudli,kudli,-,-,-,slip,madulas,to slip on something,Verb
kudukdul,kudukdul,-,-,-,prefer,mas gusto,to prefer a specific action over another,Verb
kudut,kudut,-,-,-,gather snails,mangalap ng mga kuhol,to pick up snails; gather snails in the ricefield,Verb
kugit,kugit,-,-,-,circumcise,magpatuli,to circumcise,Verb
kugut,kugut,-,-,-,sew,manahi,to sew,Verb
kuhhukuhhu,kuhhukuhhu,-,-,-,go en masse,pumunta nang maramihan,to go en masse,Verb
kuhipit,kuhipit,-,-,-,cower tail in,cower tail in,for a dog to be scared and have its tail between its legs,Verb
kuhog,kuhog,-,-,-,healthy,malusog,in good health,Adjectives
kukak,kukak,-,-,-,croak,croak,croak of frog,Verb
kukkug,kukkug,-,-,-,knock,kumatok,to knock on door; to rap on door,Verb
kukut,kukut,-,-,-,curl up,pumulupot,"to curl up, an animal or person; fetal position",Verb
kulab'ut,kulab'ut,-,-,-,cloud over,ulap sa ibabaw,to be cloudy,Verb
kulalo,kulalo,-,-,-,yellowish,dilaw,of the color yellow,Adjectives
kulangut,kulangut,-,-,-,clear nose,malinis na ilong,to remove mucus in nose,Verb
kulap,kulap,-,-,-,blind,bulag,to cause blindness,Verb
kulbung,kulbung,-,-,-,basket put,ilagay sa basket,to place in basket,Verb
kuldi,kuldi,-,-,-,gather pigeon peas,mangalap ng mga pigeon peas,to gather pigeon peas,Verb
kuleng,kuleng,-,-,-,wither,matuyo,"to be withered, referring to plants",Verb
kulhi,kulhi,-,-,-,harden,tumigas,to be hardened; the state following the process of becoming hard,Verb
kuli,kuli,-,-,-,scream at,sigaw sa,to scream at someone or at a given place,Verb
kulilong,kulilong,-,-,-,clean ears,malinis na tenga,to clean earwax from the ears,Verb
kuling,kuling,-,-,-,voice rise,pagtaas ng boses,to have a high-pitched voice; for one's voice to become high-pitched,Verb
kulinti,kulti,-,-in-,-,be electrocuted,makuryente,to be electrocuted,Verb
kuliton,kuliton,-,-,-,carting,cart,to use a two-wheeled cart; to place something in a two-wheeled cart,Verb
kuliwangwang,kuliwangwang,-,-,-,butcher (hindquarter),butcher (hindquarter),to butcher an animal and separate the hind quarter from the rest of the body,Verb
kulkulung,kulkulung,-,-,-,Adam's apple,lala; gulung-gulungan,cricoid cartilage of the larynx; Adam’s apple,Noun
kullawing,kullawing,-,-,-,swing; hang,ugoy; hang,to swing with hands on a pole or branch; hang from something,Verb
kullipaw,kullipaw,-,-,-,gather shellfish,mangalap ng shellfish,to gather kullipaw-shellfish,Verb
kulpi,kulpi,-,-,-,fold (cloth),tupi (tela),"to fold something, usually cloth",Verb
kulpig,kulpig,-,-,-,punch (fist base),suntok (fist base),"to hit with the bottom of a closed fist anywhere on the body, usually the manner of hitting by women",Verb
kulti,kulti,-,-,-,trim,pumantay,"to cut flat, thin things, to trim excess, e",Verb
kultud,kultud,-,-,-,pluck (shoots/leaves),pumutol (mga shoots/dahon),"to snap off young shoots or leaves, usually with fingers, the thumb and forefinger",Verb
kulud,kulud,-,-,-,furrow; ridge,ukit; guhit,refers to a recess in a surface; a furrow; ridges,Noun
kulug,kulug,-,-,-,fulfillment,katuparan,the process of becoming true or fulfillment of a predicted event or happening,Verb
kuluk,kuluk,-,-,-,cheat,manloko,to be one who cheats; to do something unfair; to cheat,Verb
kuluk,kuluk,-,-,-,unfair,hindi patas,not based on or behaving according to the principles of equality and justice,Adjectives
kulul,kulul,-,-,-,wail,humagulgol,to weep bitterly; to mourn with wailing,Verb
kulung,kulung,-,-,-,imprison,makulong,to imprison,Verb
kulut,kulut,-,-,-,curl (hair),kulot (buhok),to curl hair,Verb
kum-ot,kum-ot,-,-,-,paw (ground),paa (lupa),"for an animal to paw the ground, e",Verb
kuma,kuma,-,-,-,if only,kung pwede lang,expresses a wish or regret about something that did not happen,Conjunction
kumadangyan,kadangyan,-,-um-,-,to be rich/ flourish,umunlad,grow/ prosper,Adjectives
kumanobkob,kobkob,-,-uman-,-,nervously,nababahala,in an anxious or apprehensive manner,Adverb
kumanoga,koga,-,-uman-,-,keeps crying / lamenting,patuloy na nananaghoy,"expressing sorrow, grief, or regret",Verb
Kumayat,kumayat,-,-,-,climb,umakyat,"to go upward, usually by using hands and feet",Verb
kumbaba,kumbaba,-,-,-,humble,mapagkumbaba,to humble oneself,Verb
kumkumga,koga,-,-,-,crying,umiiyak,"the act of shedding tears, typically as an expression of emotion such as sadness, pain, or joy.",Verb
kumkumgaana,koga,-,-,-,crying,iniiyakan niya,"the act of shedding tears, typically as an expression of emotion such as sadness, pain, or joy.",Verb
kumkumti,kumkumti,-,-,-,firefly,alitaptap,"A type of soft-bodied beetle that glows with a light in its abdomen, typically at night",Noun
kumkumti,kumkumti,-,-,-,daze,tulala,"to be dazed; to see stars when dazed, knocked out or about to faint",Verb
kumpurmi,kumpurmi,-,-,-,any,alinman / kahit ano,"refers to an indefinite time, place or thing",Pronoun
kumpurna,kumpurna,-,-,-,any,kahit ano,"used to refer to one or some of a thing or number of things, no matter how much or how many",Adjectives
Kumusta,musta,ku-,-,-,how are you,kamusta,greeting/question eliciting the state of health or life in general,Interjection
kun,kun,-,-,-,I,Ako,First person pronoun,Pronoun
kunayut,kunayut,-,-,-,sticky,malagkit,"to be sticky, the texture of something",Verb
kunde,kunde,-,-,-,weed gathering,pagtitipon ng damo,to gather kunde weed,Verb
kung-i,kung-i,-,-,-,snort,nguso,to make a snorting sound like a horse,Verb
kungkung,kungkung,-,-,-,headdress (ceremonial),headdress (seremonyal),to wear or use a kungkung ceremonial headdress,Verb
kunud,kunud,-,-,-,disappointment,pagkabigo,the opposite of an expectation occurs; unfulfilled expectation,Verb
kupin,kupin,-,-,-,fold (clothes),tiklop (damit),"to fold clothing, bedding, towels, etc",Verb
kupkup,kupkup,-,-,-,scoop,scoop,to scoop and pile with hands or arms,Verb
kupli,kupli,-,-,-,ringworm,ringworm,to have ringworm,Verb
kupli-ing,kupli-ing,-,-,-,flute playing,pagtugtog ng plauta,to play the flute,Verb
kupo,kupo,-,-,-,empty,walang laman,"to be empty of content, e",Verb
kurang,kurang,-,-,-,incomplete,hindi kumpleto,not having all the necessary or appropriate parts,Adjectives
kusu,kusu,-,-,-,wrinkle,kulubot,to wrinkle or rumple clothing,Verb
kut-'ong,kut-ong,-,-,-,knock (head),kumatok (ulo),to hit the top of the head of someone with knuckles of hand,Verb
kuti,kuti,-,-,-,move,gumalaw,to go in a specified location,Verb
kutikut,kutikut,-,-,-,bore (hole),butas (butas),to drill hole in betelnut or wood,Verb
kutim,kutim,-,-,-,thresh,maggiik,to remove kernels of grain from stalk,Verb
kutkutubbe,kutkutubbe,-,-,-,beetle gathering,pagtitipon ng salagubang,to gather kutkuttubbe beetles,Verb
kutlong,kutlong,-,-,-,canegrass gathering,pagtitipon ng canegrass,to gather canegrass shoots,Verb
kutmu,kutmu,-,-,-,crunch (chew),langutngot (nguya),"to chew something crunchy such as corn, cooked bone cartilage or bone knots",Verb
kutson,kutson,-,-,-,cushion,unan,to place a cushion or padding,Verb
kuttim,kuttim,-,-,-,young rice grain,butil ng murang palay,young rice grains picked and skinned by fingers to be eaten,Noun
kuttung,kuttung,-,-,-,thin,manipis,"to be thin, characteristic of a person",Verb
kutu,kutu,-,-,-,delouse,delouse,to remove someone's lice,Verb
kutyam,kutyam,-,-,-,whisper,bulong,to whisper; to whisper to each other; refers to the unintelligible sound of loud whispering,Verb
kuug,kuug,-,-,-,thin,manipis,"to be thin; skinny, characteristic of a person",Verb
kuwadladu,kuwadladu,-,-,-,square,parisukat,to be square; sides or edges are at right angles,Verb
kuwaltu,kuwaltu,-,-,-,partition; room,pagkahati; silid,to partition or make into a room,Verb
kuwan,kuwan,-,-,-,thing;,kuwan,an expression which substitutes for a word you can’t think of; thingamajig,Noun
kuwenta,kuwenta,-,-,-,compute,magcompute,to compute the number of something,Verb
kuwiwwiw,kuwiwwiw,-,-,-,shellfish,suso; kuhol,small shellfish with a three-turned shell; bitter-tasting tail,Noun
kuyag,kuyag,-,-,-,pour,ibuhos,to pour something out of a container,Verb
kuyaput,kuyaput,-,-,-,peel (citrus),alisan ng balat (citrus),to remove the soft inner peel of citrus fruits,Verb
kuyngut,kuyngut,-,-,-,crooked,baluktot,"for something to be hooked or crooked, e",Verb
kuyug,kuyug,-,-,-,accompany,samahan,to take someone along with; to go along with someone,Verb
kyubik,kyubik,-,-,-,measure (cubic),sukat (kubiko),to measure on the basis of one cubic meter,Verb
la-nga,la-nga,-,-,-,carry in arms,buhatin sa mga bisig,"to hold or carry something in arms, as a means of keeping objects together",Verb
la-u,la-u,-,-,-,pass by (place/person),dumaan (lugar/tao),"to pass-by a person or place, spatial concept",Verb
la-uh,la-uh,-,-,-,pass,lagpasan,to go past or across,Verb
la-ut,la-ut,-,-,-,gulp,lagok,to swallow hurriedly before chewing; in either greediness or being in a hurry; to gulp food,Verb
la-uwan,la-uwan,-,-,-,overtake,maabutan,to overtake,Verb
laawon,laawon,-,-,-,consent,pagpayag,to agree to honor a request,Verb
lab’at,lab’at,-,-,-,interest,tubo,interest payable for debts; money or in kind,Noun
labalab,labalab,-,-,-,attract (by light),akitin (sa pamamagitan ng liwanag),to attract insects and birds by light,Verb
laban,laban,-,-,-,fight,lumaban,to fight,Verb
labanon,laban,-,-,-on,confront,harapin,to fight against,Verb
laba,laba,-,-b-,-,wash clothes,maglaba,the act of cleaning garments or clothing by hand or machine,Verb
labbunon,labbunon,-,-,-,guess,hulaan,to give an opinion without having all the facts,Verb
labeng,labeng,-,-,-,abdominal fat,taba sa tiyan,"refers to fat rolls or body bulges, particularly in the abdominal area",Noun
labes,labes,-,-,-,excessive,sobra-sobra,to be excessive; more than a normal standard,Verb
labihhita,labihhita,-,-,-,tie/rope,pantali,"a cord, string, or line used for fastening or binding",Noun
labit,labit,-,-,-,raise rabbits,magpalaki ng mga kuneho,to raise rabbits,Verb
lablabong,lablabong,-,-,-,ornamental wild tree,punongkahoy,a small tree variety with attractive berries but inedible,Noun
labnit,labnit,-,-,-,tighten,higpitan,to pull to tighten something,Verb
