Iloko,English
Basaen ti ababa nga istorya ken sungbatan dagiti saludsod.,Read the short story and answer the questions.
Mano a duyaw ti ginatang na a lapis?,How many yellow pencils did he buy?
Maysa nga aldaw napan gimmatang iti lapis ni Romeo idiay tiendaan.,One day Romeo went to the store to buy pencils.
"Gimmatang isuna iti 1 a puraw, 4 a nalabbaga, ken 2 a duyaw a lapis.","He bought 1 white, 4 red, and 2 yellow pencils."
Urnosen dagiti lapis manipud kaaduan agingga kabassitan.,Arrange the pencils from most to least.
Urnosen dagiti lapis manipud kabassitan agingga kaaduan.,Arrange the pencils from least to most.
Gimmatang isuna iti manga nga aggatad iti Php 50.00.,She bought mango costing Php 50.00.
Gimmatang pay isuna iti saba nga aggatad iti Php 20.00.,She also bought banana costing Php 20.00.
Asino ti ubing iti istoria?,Who is the child in the story?
Sadino ti napanan ti ubing?,Where did the child go?
Ti kabassitan a bilang ket isu ti maysa a puraw a lapis.,The smallest number is the 1 white pencil.
Iti kaaduan ket diay nalabbaga a lapis nga uppat.,The greatest is the red pencil which is 4 pieces.
Dagitoy dagiti naduma-duma a kuarta a papel ti Pilipinas.,These are the different Philippine paper bills.
Panagurnos iti numero manipud kabassitan agingga kaaduan.,Ordering numbers from smallest to greatest.
Panagurnos manipud kaaduan agingga kabassitan.,Ordering numbers from greatest to smallest.
Adda 7 nga klase ti sensilio ken 6 nga klase ti kuarta a papel iti Pilipinas.,There are 7 kinds of coins and 6 kinds of paper bills in the Philippines.
Bilangen dagiti banag ken urnosen manipud kabassitan agingga kaaduan.,Count the objects and order them from least to greatest.
Ania ti sensilio a 5 sentimo?,Which is the 5-centavo coin?
Mano ti gatad na daytoy a sensilio?,What is the value of this coin?
"No gumatang ka iti aggatad ti Php 20, ania a kuarta a papel ti usarem?","If you buy something worth Php 20, which bill will you use?"
Mano ti gatad na daytoy a kuarta?,What is the value of this bill?
Iyurnos dagiti numero manipud kaaduan agingga kabassitan.,Arrange the numbers from greatest to least.
Iyurnos dagiti numero manipud kabassitan agingga kaaduan.,Arrange the numbers from least to greatest.
Marisan dagiti kahon nga adda umno a nagan iti sensilio.,Match the boxes with the correct name of the coin.
Isurat ti kusto a pateg dagiti kuarta a papel.,Write the correct value of the paper bills.
Addition a Kas Panamagtipon ken kas panangragup kadagiti sets,Addition as putting together and combining sets
Naaramid daytoy a modyul tapno matulongan dagiti estudyante ti pinagadalda.,This module is made to help students in their learning.
Napateg nga ammuen tayo no kasano ti Addition a Kas Panamagtipon ken kas panangragup kadagiti sets.,It is important to know how addition works as putting together and combining sets.
Idrowing dagiti bambanag a masapul idiay uneg iti kahon.,Draw the needed objects inside the box.
Basaen ken adalen ti istoria.,Read and study the story.
Adda ti 2 kalding a tarakenda Rami ken 5 a manok ni Nika.,Rami has 2 goats and Nika has 5 chickens.
Mano amin ti taraken da nga ayup da Rami ken Nika?,How many animals do Rami and Nika have in total?
Makatulong daytoy a modyul tapno maadalan dagiti ubbing iti Addition a kas panamagtipon ken kas pagisilpo kadagiti ragup.,This module helps children learn addition as combining and joining sets.
Siasino dagiti ubbing diay istoria?,Who are the children in the story?
Mano amin ti kalding nga taraken ni Rami?,How many goats does Rami have?
Mano ti manok a taraken ni Nika?,How many chickens does Nika have?
Mano kadi amin nga ayup nga tarakenda nga dua?,How many total animals do they have?
Iparis ti numero iti husto nga bilang.,Match the number to the correct quantity.
Bilangen ken pagtipunen dagidiay sets idrowing idiay kayo.,Count and combine the sets then draw them on the tree.
Panamagtipon iti Dua a 1-Digit a Numero nga Agdagup iti Agingga iti 18,Adding two 1-digit numbers with sums up to 18
Naaramid daytoy a modyul a mangtarabay iti panagadalmo.,This module is designed to support your learning.
Isurat iti usto nga sungbat idiay uged.,Write the correct answer in the blank.
Isilpo ti umno nga addition sentence.,Match the correct addition sentence.
Kompletuen dagiti sumaganad nga addition sentence.,Complete the following addition sentences.
Maysa a malem inawis naka iti gayyemmo nga agpuros iti sabong.,One afternoon your friend invited you to pick flowers.
Nagpuros ka iti 8 puraw a rosas ken isuna iti 6 nalabbaga a rosas.,You picked 8 white roses and they picked 6 red roses.
Mano amin a sabong iti napurosyo?,How many flowers did you pick in total?
Adda 5 nga mansanas ken 8 nga mangga. Mano amin?,There are 5 apples and 8 mangoes. How many in all?
Sakaren dagiti numero ken biroken ti dagup.,Circle the numbers and find the sum.
Biroken ti dagup babaen ti paidda wenno patakder.,Break down the sum using horizontal or vertical addition.
Adalen ti tsart ken solbaren ti problema.,Study the chart and solve the problem.
Mano amin ti kendi ken tsokolate?,How many candy and chocolates?
Panagragup ti saggaysa a banag iti sagsangapulo,This module focuses on grouping ones into tens
"Makapagdasig ti dua nga ragup nga usaren “ad-adu ngem”, “basbassit ngem”, “kas kaadu”","Compare two groups using “more than,” “less than,” and “as many as”"
Pilien ti umno a sungbat. Isurat ti sungbat.,Choose the correct answer. Write the answer.
Ania a ragup ti ad-adu ngem 3?,Which group has more than 3?
Ania a ragup ti basbassit ngem 7?,Which group has less than 7?
Napan ni Mary idiay palengke. Nakakita isuna iti prutas.,Mary went to the market. She saw fruits.
"Gimmatang isuna iti 14 nga saba, 25 nga bayyabas…","She bought 14 bananas, 25 guavas…"
Inkabel na amin daytoy idiay basket na.,She placed all of these in her basket.
Sinno ti napan idiay palengke?,Who went to the market?
Ania ti rikna na idi nagawid isuna?,How did she feel when she went home?
Mano nga piraso nga saba iti adda idiay basket?,How many bananas are in the basket?
Mano a ragup a sagsangapulo ti mabalin nga mabukel iti 14 a saba?,How many tens can be formed from 14 bananas?
Mano a saggaysa ti nabati?,How many ones are left?
Panagaramat ti ladawan ken panangiparang ti ragup,Using pictures to show groups
"Tapno napigges iti panagbilang, iragup dagiti bambanag iti sagsangapulo.","To count efficiently, group objects into tens."
Ni Karl ken Andrea ket nagburas iti mangga…,Karl and Andrea harvested mangoes…
No nakapuros da iti 65 nga mangga…,If they harvested 65 mangoes…
"Ti 125 ket katupag ti 1 sagsangagasut, 2 sagsangapulo, 5 saggaysa","125 equals 1 hundred, 2 tens, and 5 ones"
"Pagdasigen dagiti ragup nga usar “ad-adu ngem”, “basbassit ngem”, “kas kaadu”",Compare groups using those expressions
"Iragup ti sagsangagasut, sagsangapulo, saggaysa.","Group into hundreds, tens, ones."
Naaramid daytoy nga modyul para kadagiti agad-adal ti Matematika Grade 1,This module is created for Grade 1 Math learners
Nakapokus iti Panagbasa ken Panagsurat kadagiti numero agingga 100,Focused on reading and writing numbers up to 100
Basaen ken sapulen ti kapada a balikas wenno simbolo,Read and find the matching word or symbol
Ni Mang Kanor ket adda naduma-duma nga mula na nga nateng,Mang Kanor has different vegetables
Siasino iti adda naduma-duma nga mula?,Who has different kinds of vegetables?
Mano nga kamatis iti napuros?,How many tomatoes were harvested?
Mano amin iti bilang na iti napuros?,What is the total number harvested?
Dagiti numero ket mabalin a basaen kas simbolo wenno balikas,Numbers can be read as symbols or words
Bilangen ken timbukelan ti kinaado dagiti banbanag,Count and circle the correct quantity
Isurat dagiti balikas a numero iti simbolo,Write the number word in numeral form
Isurat ti bilang iti simbolo ken balikas,Write the number in symbol and word
Isurat iti usto nga sungbat idiay uged,Write the correct answer in the blank
Isilpo ti umno nga subtraction sentence,Match the correct subtraction sentence
Isurat a paidda dagiti number sentence,Write horizontally the number sentences
Panangkissay ti 1 agingga 2-digit a numero agingga 99 nga awan regrouping,Subtract 1–2 digit numbers up to 99 without regrouping
Usaren ti hundred chart tapno mabirokan ti sungbat,Use the hundred chart to find the answer
Isurat dagiti kurang a numero,Fill in the missing numbers
Napan ni Marie idiay tiendaan,Marie went to the store
Mano nga bayyabas ti nabati?,How many guavas are left?
Panunoten ti minuend iti expanded form,Think of the minuend in expanded form
Panunoten: Dua a method ti usada,Think: Two methods can be used
Tulungan ti ubing a mangpuro,Help the child pick flowers by subtracting mentally
Tulungan ti koneho mangan ti carrots,Help the rabbit eat carrots by subtracting mentally
Inkabilna ti 12 iti basket,She put 12 into the basket
Mano a kamatis ti saan a naikabil?,How many tomatoes were not placed in the basket?
Basaen ken awaten ti problema,Read and understand the problem
Adda 36 a kahon ti tsokolate ni Ken,Ken has 36 boxes of chocolates
Adda 65 nga agad-adal iti Grade 1,There are 65 students in Grade 1
Daytoy a modyul ket naaramid ken naisagana tapno pasayaaten ti kabaelan ken maikkan ti gundaway iti naragsak a panagadal ti matematika iti umuna a tukad.,This module is made to improve skills and provide an enjoyable learning opportunity in Grade 1 mathematics.
"Namnamaen a masursuro ti panagbilang, panangiladawan, panangibagi ken panangisina kadagiti bambanag babaen ti agpapada a linaonna a ragup ken panangisurat iti equivalent expression.","It is expected that learners understand counting, describing, grouping, and separating objects through equal sets and writing equivalent expressions."
Ti ragup ket isu iti pannakaigrupo dagiti bambanag a linaonna.,A group refers to arranging objects with the same number.
Napan nagay-ayam da Rina ken Rommel idiay parke.,Rina and Rommel went to the park to play.
Nakatiliw da ti saggatlo da nga kulibangbang.,They caught three butterflies each.
Tulongan tayo ida nga mangbilang ti ragup ti kulibangbang.,Let’s help them count the groups of butterflies.
"Masapul nga maammuam no kasano ti pangilawlawag iti panangiladawan, panangibagi ken panangisina kadagiti bambanag babaen iti agpapada ti linaon na a ragup.","You need to understand how to describe, group, and separate objects using equal sets."
Ni Tatay Marcelo ket nalaing nga agaramid iti tugaw.,Father Marcelo is good at making chairs.
Nakaaramid isuna iti 12 nga tugaw iti dua nga aldaw.,He made 12 chairs in two days.
Ragupen dagiti tugtugaw iti dua.,Group the chairs into two sets.
Marisan ti kahon a mangipakita iti husto nga equivalent expression ti ragup dagiti bambanag.,Match the box that shows the correct equivalent expression of the group of objects.
Idrawing ditoy uneg ti kahon ti ibagbaga na daytoy nga expression.,Draw inside the box the expression represented.
Idrowing ken pagsinaen dagiti bambanag iti agpapada iti linaon a ragup.,Draw and separate the objects into equal groups.
Daytoy a module ket naisagana ken naisurat tapno pasayaaten ti kabaelan ken maikkan ti gundaway iti naragsak a panagadal ti Matematika iti Umuna a Tukad.,This module was prepared to improve skills and give learners joyful opportunities in Grade 1 mathematics.
"Maipanggep daytoy a module iti panangbigbig, panangiladawan ken panangbingay dagiti bambanag iti dua nga paset nga agpada.","This module involves identifying, representing, and dividing objects into two equal parts."
"No ti maysa a sangabukel ket guduaen iti dua nga agpadpada a paset, ti tunggal paset ket maawagan a kagudua.","If a whole is divided into two equal parts, each part is called a half."
Adda maysa a kuadrado a papel ni Ana.,Ana has a square piece of paper.
Kayatna nga ited ti kagudua iti papel kenni Lino.,She wants to give half of the paper to Lino.
Kasanom a guduaen ti papel?,How will you divide the paper?
Nabingaybingay ti sangabukel a papel iti nadumaduma a wagas tapno maipakita ti uppat a paset nga agpapada.,The whole paper is divided in different ways to show four equal parts.
Tunggal paset ket managanan iti apagkapat wenno 1/4.,Each part is called one-fourth.
Kumpletuen ti tunggal paset tapno maipakita ti sangabukel.,Complete each part to form the whole.
Idrowing ti paboritom a sukog ket marisan ti kaguduana.,Draw your favorite shape and shade half of it.
Marisan ti paset a mangpakita iti apagkapat.,Shade the part that shows one-fourth.
Daytoy a module ket naisagana ken naisurat tapno pasayaaten ti kabaelan ken maikkan ti gundaway iti naragsak a panagadal ti Matematika iti Umuna a Tukad.,This module is prepared and written to improve skills and give an enjoyable learning experience in Grade 1 Mathematics.
"Maipanggep daytoy a module iti panangbigbig, panangiladawan ken panangbingay dagiti bambanag iti dua nga ragup nga addaan ti agpada nga bilang da tapno maipakita ti kagudua.","This module is about identifying, representing, and dividing objects into two groups with equal quantity to show halves."
Tapno maala ti kagudua ti dagup dagiti bambanag ket nasken nga bingayen dagiti bambanag iti dua nga ragup nga agpapada ti bilang da.,"To get the half of the group of objects, they must be divided into two groups with equal quantity."
Tapno maala ti kagudua dagiti sangapulo a mangga ket nasken nga bingayen isuda iti dua nga ragup nga agpada ti bilang.,"To get half of the ten mangoes, they must be divided into two groups with equal number."
Ti kagudua ti dagup dagiti sangapulo a mangga ket lima.,Half of the ten mangoes is five.
Ti ladawan ket mangipakpakita ti panangbingay dagiti walo a saba tapno maipakita ti kagudua.,The picture shows dividing the eight bananas to show the half.
Maipanggep pay daytoy a module iti panangbingay dagiti bambanag iti uppat a ragup tapno maipakita ti kakapat.,This module also deals with dividing objects into four groups to show fourths.
Tapno maala ti kakapat ti dagup dagiti bambanag ket nasken nga bingayen dagiti bambanag iti uppat nga ragup nga agpada ti bilang.,"To get the fourth of a group, the objects must be divided into four equal groups."
Ti maaddan nga ladawan ket mangipakpakita ti panangbingay dagiti sangapulo ket inem a lapis tapno maipakita ti kakapat da.,The picture shows dividing sixteen pencils into equal groups to show one fourth.
Tapno maala ti kakapat dagiti sangapulo ket dua nga tugaw ket nasken nga bingayen isuda iti uppat nga ragup.,"To get the fourth of the twelve chairs, they must be divided into four groups."
Ti kakapat ti dagup dagiti sangapulo ket dua nga tugaw ket tallo.,One fourth of twelve chairs is three.
Ikkan ti kur-it no husto ti panangbingay tapno maipakita ti kagudua.,Put a check if the division shows one half.
Isurat iti bilang a mangibaga iti kagudua.,Write the number that shows the half.
Idrowing ti naragsak a rupa no husto ti panangbingay a mangipakita ti kakapat.,Draw a happy face if the division correctly shows one fourth.
Timbukelan ti letra ti husto a bilang nga mangiladawan iti kakapat.,Encircle the letter that shows the correct fourth.
Isurat no nagudua ti dagup dagiti bambanag ken no napagkapat.,Write whether the group is divided into halves or fourths.
Bingayen dagiti dagup iti bambanag tapno makita ti kagudua wenno kakapat da.,Divide the objects to show their half or fourth.
"Kalpasan daytoy nga modyul, maammuam no kasano ti sangabukel a langa ken kadagupan dagiti bambanag no naited iti kagudua wenno apagkapat.","After this module, you will know the whole shape or group of objects when only the half or fourth is given."
"Adda naduma duma nga sukog a kuadrado, rektanggulo, nagtimbukel ken trianggulo.","There are different shapes such as square, rectangle, circle, and triangle."
Adda met naduma duma nga solido a pigura.,There are also different solid figures.
Awan ti suli ken sikigan ti timbukel.,A circle has no corners and edges.
Adda tallo a suli ken sikigan ti trianggulo.,A triangle has three corners and sides.
Adda a upat a suli ken sikigan ti rektanggulo.,A rectangle has four corners and sides.
Adda upat a suli ken sikigan ti kuadrado.,A square has four equal corners and sides.
Daytoy ket kahon a kuadrado.,This is a square box.
Daytoy ket cylindrical a lata.,This is a cylindrical can.
Ti bola ket addaan maysa a rabaw.,A ball has one curved surface.
Idrowing ti kadagupan ti naited a kagudua dagiti banbanag.,Draw the whole shape of the given half of the objects.
Isurat ti nagan ti sukog nga ipakpakita dagiti banbanag.,Write the name of the shape shown by the objects.
Pagdinnasigen ken pagsilpuen dagiti banbanag a agkalanglanga.,Compare and match the objects that look alike.
Pilien ti letra ken isurat ti husto a sungbat.,Choose the letter and write the correct answer.
Ania ti kalanglanga ti trianggulo.,Which object looks like a triangle?
Ania kadagitoy ti saan nga kahon a rektanggulo.,Which of these is not a rectangular box?
Addaan dua a nagtimbukel a rupa ken maysa a rabaw.,It has two circular faces and one curved surface.
Naisurat daytoy a modyul tapno pabaknangen na ti kabaelan maipanggep ti pattern.,This module was written to strengthen skills related to patterns.
Ita panaglippas daytoy a modyul ket namnamaek a maipakita maited wenno maidrowing ti umno nga parte nga maaw-awan ti maysa a pattern.,"After this module, I expect that you can show, give, or draw the missing part of a pattern."
Mabalin daytoy nga letra numero maris kolor sukog kadakkel ken dadduma pay.,"This pattern may be letters, numbers, colors, shapes, sizes, and others."
Napadasam kadin ti naki-party iti maysa a nagkasangay,Have you attended a birthday party
Ania dagiti bambanag a nakitam iti ladawan,What objects did you see in the picture
Ania dagiti nakitam a naduma-duma nga sukog iti ladawan,What different shapes did you see in the picture
Idrowing ti umno nga ladawan tapno makumpleto ti pattern,Draw the correct picture to complete the pattern
Lagipen ti pattern ket maysa nga imahe nga pagparisan wenno pagtuladan,Remember that a pattern is a repeated image or sequence
Kitaen dagiti ladawan ti pattern,Look at the pictures of the pattern
Pilien ti umno nga equivalent pattern,Choose the correct equivalent pattern
Isurat ti sumaruno nga numero sukog letra maris,Write the next number shape letter or color
Ania ti umno nga urnos ti pattern kadagiti nagan ti aldaw,Which is the correct order of the days of the week
Mangidrowing ti pagarigan ti pattern,Draw an example of a pattern
Naisurat daytoy a modyul tapno pasayaaten ti kabaelan maipanggep ti panangbukel iti equivalent number expression.,This module was prepared to improve the ability to create equivalent number expressions.
Babaen ti naduma-duma nga aramiden ket maawatam daytoy nga leksion.,"Through the various activities, you will understand this lesson."
Ni Lea ket adda 15 nga mula na nga rosas diay hardin na.,Lea has 15 rose plants in her garden.
Inabunnuan na ti 9 kadagiti mula na.,She watered 9 of her plants.
Mano ngay nga rosas ti agkasapulan pay ti abono,How many roses still need fertilizer
Ti panagnayon ket pagtipunen dagiti dua a numero,Addition is putting two numbers together
Panagkissay ket ikissay ti addend manipud ti dagup,Subtraction is taking away from the total
Adda 5 nga holen ni Abdul ken 4 ni Karim,Abdul has 5 marbles and Karim has 4
Ti 5 ken 4 ket isu ti composing number,5 and 4 are the composing numbers
Ti dagup a numero nga 9 ket mabalin a decompose,The number 9 can be decomposed
Ikkan ti kur-it dagiti numero nga mangipakpakita iti equivalent number expression,Put a check on the numbers that show the equivalent number expression
Isurat ti equivalent number expression,Write the equivalent number expression
Marisan ti lobo nga adda iti dagup na,Match the balloon with the number that equals its sum
Mangisurat ti addition sentence manipud ti numero,Write an addition sentence from the number
Daytoy a module ket naisagana tapno pasayaaten ti kabaelan iti panangbigbig ken panangsolbar iti awan a numero.,This module was prepared to enhance the ability to identify and solve missing numbers.
Maipanggep daytoy iti panagnayon ken panagkissay nga usaren a mangbiruken iti awan a numero.,This is about using addition and subtraction to find missing numbers.
No man pay diay umuna wenno maikadua a numero iti awan ket pagkissayen laeng diay addaan nga dua nga numero.,"When the missing number is in the first or second part, subtract from the given number."
No iti awan a numero ket diay maikadua pagkissayen diay umuna.,"If the missing number is in the second part, subtract the first."
No iti awan a numero ket diay umuna pagnayunen diay maikadua.,"If the missing number is in the first part, add the second."
Marisan ti timbukel nga addaan ti numero a mangibagi iti awan a numero.,Match the circle with the number that completes the missing term.
Isilpo ti usto a mangibagi iti awan a numero.,Match the correct number to complete the missing value.
Isurat ti sungbat diay uneg ti trianggulo.,Write the answer inside the triangle.
ti dot ket tulnek. mabalin nga naganan babaen ti letra.,dot is a dot. it can be named through a letter.
ti linya ket adda dua nga arrowhead nga mabalin nga ipaatiddog nga awan patinggana na.,line has two arrow that can be extended with no end.
ti ray ket adda maysa nga endpoint na ken maysa nga arrowhead ken mapaatiddog iti maysa laeng nga turong.,ray has one endpoint and one arrowhead and extended in one direction
agayayamda david ken vince ti darts. kitaen no idiay ti pinagdissuan ti darts da.,david and vince is playing darts. see where the darts landed
ania ti nagdissuan ti dart da david ken vince?,what did the dart of avid and vince landed on?
parallel lines ket linya nga madi nga agsabat. ti simbolo II ipakpakita na ti parallel.,parallel lines are lines that can't meet. symbol II shows parallel
perpendicular lines ket linya nga agsabat iti common point. dagiti linya ket agsinnabat ket makabuo iti square corner.,perpendicular lines are lines that meets on a common point. lines that meets creates a square corner
intersecting Lines ket agsabat ngem saan a makabuo iti suli wenno 90 ̊.,intersecting lines meets and can't create a corner or 90
line segments ket congruent nu agpada iti kaatiddog.,line segments are congruent if the length is similar
"wenno, ikabil iti ngatuen iti maysa a line segment tapno makita no agpada iti kaatiddog.","or, place it above a line segment to see if it is the same length."
"no ti line segment ket agpada, awagan tayo iti congruent","if the line segment are similar, lets call it congruent"
"no ti line segment ket haan nga agpada, awagan tayo iti non-congruent line segment.","if the line segment are not similar, lets call it non-congruent line segment"
"lasinen iti pares ti linya nga parallel, intersecting wenno perpendicular.","identify the pair of parallel lines, intersecting or perpendicular."
isurat ti sungbat diay kahon.,write the answer on the box
symmetry nu iti ladawan ket adda dua a paset nga agkakaingas.,symmetry if in the picture there are two parts that are similar.
ti ladawan ket symmetrical no maugedan ket agkaingas ti agsumbangir nga paset na.,"the picture is symmetrical when underlined, both sides of the sheet are similar "
ti ladawan nga sukog wenno banag ket symmetrical no nakupin daytoy nga nasayaat ti dua.,the picture shape or object is symmetrical when it is folded properly in two
iti rektanggulo ket nakupin iti kastoy. ania ti maibagayo?,rectangle is folded into this. what can you say?
ti ladawan ket adda iti line of symmetry no daytoy ket nakupin nga agpada.,the picture has a line of symmetry if it is folded the same
ti line of symmetry ket maiyuged iti tingnga ti ladawan.,line of symmetry can be drawn in the middle of the picture
"agdrowing iti trianggulo, square ken rektanggulo. kupinen ti sukog na apag-isu nga agpada iti sikigan na.","draw a triangle, sqaure and rectangle. fold the shape the same on its side"
"ti pananggudua iti ladawan, ugedan iti nagtingngaan nga umiso nga agpada iti dua a sikigan.","halfing the picture, underline the middle correctly where the two sides are similar"
agkakaingas dagitoy babaen ti pannakauged iti nagtinngaan.,they are similar through how it is drawn in the middle
Maam-muam ti maaw-awan ti paset iti naited nga pagtuladan iti sukog,you will know what is missing in the given sheet with the example of the shape
kitaem no kasano nga naurnos dagiti ladawan wenno sukog ken ibaga no ania a sukog ti naynay nga maulit.,see how the images or shapes are arranged and tell which shapes are repeated
ibaga iti urnos dagiti naulit nga ladawan.,tell the order of the repeated pictures.
maam-muam ti maaw-awan a numero iti naited a pattern wenno pagsasaruno.,you will find out the missing number in the given example or succession.
kitaem no dagiti numero ket naurnos nga agpangpangato wenno agpabpababa.,see if the numbers are arranged in rising or descending.
ammom ti pakainnaigan dagiti numero babaen ti panangbirok iti nagiddiatan ti numero nga agsinnaruno.,you know the relationship between the numbers by finding the difference between the number that follows.
usaren ti nagbaitan nga giddiat tapno mabirukan ti maaw-awan nga numero.,use the difference to find a missing number.
kitaen ti sumaruno nga bunggoy dagiti ladawan wenno banag.,look at the next group of pictures or objects.
kasano ti pannakaurnos da? Ania a pattern iti napartuat?,how are they organized? Which pattern was created?
ania nga sukog iti umno a maikabil iti uged?,what shape is correctly placed in the line?
ania a klase a pattern ti naited?,what kind of pattern is given?
daytoy ket pagarigan ti repeating patterns.,This is an example of repeating patterns
repeating patterns ket panagsasaruno ti sukog wenno numero nga masansan nga maulit.,repeating patterns are a succession of shape or number that is often repeated.
maibaga ti sumaruno baben iti panangaamo no ania a sukog iti maulit-ulit?,the next can be said through knowing what shape is repeated
tatta kitaen dagitoy a numero.,now lets see the numbers
adalen ti number sentence ken biruken no ania ti maaw-awan a numero iti multiplication sentence wenno division sentence.,study the number sentence and find what the number is missing in the multiplication sentence or division sentence.
tandaanam nga ti multiplication ket kasupadi ti division.,"remember, multiplication is the opposite of the division."
dakkel nga makatulong ti mapukpukaw nga numero iti division sentence no naiyulom ti multiplication facts.,division sentence is a big help in finding the missing number if you memorised the multiplication facts
maam-muam ti division tapno matsek ti multiplication ken multiplication tapno matsek ti division.,you will find the division to see multiplication and multiplication to check division.
"daytoy a modyul ket mangisuro ken mangipakita kenka nga patta-pattaen ti panagpaadu ti numero 1 inggana 10 ti 6, 7, 8 ken 9.","this module will teach and show you to estimate the increase of numbers 1 to 10 of 6, 7, 8 and"
ti multiplication ket usigentayo met nga repeated addition.,multiplication will also consider a repeated addition.
"tapno maala tayo ti umno a product ti multiplication, i-multiply tayo ti multiplicand iti multiplier.","to get the correct product of the multiplication, we will multiply the multiplicand with a multiplier."
ti multiplier ti mangibaga no mamin-adu nga ti maysa a numero ket mainayon bayat multiplicand met ti numero nga dapat mainayon.,multiplier will tell how many times one number is added while multiplicand is the number that must be added
ti product met ti maawagan a sungbat.,the product is also called the answer.
ti multiplication ti numero nga 1 inggana 10 ket addada dadduma nga multiplication facts na nga masapul a masurot.,the multiplication of the number 1 to 10 is that there are other multiplication facts that must be followed.
maysa kadagitoy ket ti repeated addition.,one of these is the repeated addition.
kas pagarigan adda ti tallo a grupo nga adda ti taglima na nga kutsara.,"for example, there are three groups with five spoon."
"ti dagup nga bilang ti kutsara ket maala amin nu isurat ti lima iti tallo a grupo, wenno babaen ti pananginayon ti lima nga mamitlo kas 5 + 5 + 5 = 15.","the total number of spoons is obtained by writing five in three groups, or through adding five three times as 5 + 5 + 5 = 15."
"daytoy nga numero nga 15 ket maala met nu i-multiply mo ti 5 x 3, isu nga 5 + 5 + 5 = 5 x 3.","this number 15 will also be obtained if you multiply 5 x 3, so 5 + 5 + 5 = 5 x 3."
"gapuna, repeated addition ti 5 nga mamintallo ket pareho met laeng nu paaduem ti lima ti mamitlo.","therefore, a repeat addition for 5 times is the same if you increase five three times"
ti distributive property met ket mausar nu ti i-multiply tayo ket 2-digit numbers ken 1-digit number.,distribive property is also used if our multiply is 2 digit numbers and 1-digit number.
tapno ma i-multiply met ti tallo nga 1-digit number mabalintayo nga usaren ti associative property of multiplication.,to multiply the three 1 digit numbers we can use the associative property of multiplication.
tapno mausar tayo daytoy nga kusto kailangan tayo nga umuna pay nga i-multiply dagiti factors nga adda ti uneg iti parenthesis sakbay i-multiply iti nabati pay nga factors.,for us to use this properly we need to firstly multiply the factors inside the parentheses before multiplying the remaining factors
"tapno ma-multiply ti 2-digit numbers iti 2-digit numbers nga awan ti regrouping na, i-multiply ti 2-digit multiplicand ayan iti ones iti multiplier ken sakbay met nga i-multiply iti multiplicand ayan iti tens iti multiplier.","to multiply the 2 digit numbers in 2 digit numbers without regrouping, multiply the 2-digit multiplicand in the ones in the multiplier and before multiplying to the multiplicand where in the tens in the multiplier."
kalpasan innayon amin dagiti naala nga partial products tapno maala ti final product.,after adding all of the partial products we got to get the final product
i-multiply ti 2-digit multiplicand ayan iti ones iti multiplier ken e- regroup nu kasapulan pay nga e-regroup.,multiply 2 digit multiplicand to the ones of the multiplier and regroup if needed to be regrouped
i-multiply iti multiplicand ayan iti tens ti multiplier e-regroup met nu kasapulan pay nga i-regroup.,muliply the multiplicand to the tens multiplier regroup if needed to be regrouped
kalpasan innayon amin dagiti naala nga partial products tapno maala ti ultimo final product.,after adding all of the partial products we got to get the final product
"tapno mai-multiply ti 2-digit angingga 3-digit numbers babaen ti multiples iti 10 ken 100, umuna pay nga i-multiply ti non-zero digits.","for it to be multiplied to 2 digit until 3 digit numbers through multiples of 10 and 100, first multiply non-zero digits"
sakbay sakupen dagiti zeros ayan iti factors.,before covering the zeros in the factor
ti number iti zeros ayan iti factors ket isumet iti number ti zeros iti product.,the number of zeros in the factors are the same with the number of zeros of the product
"tapno mai-multiply ti 1-digit angingga 2-digit numbers babaen iti 1000, umuna pay nga i-multiply ti non-zero digits.","for it to be multiplied to 1 digit until 2 digit numbers through 1000, first multiply non-zero digits"
"ti umuna nga aramiden ket i-round off ti factors nga kangatuan ti cantidad; calpasanna , i-multiply diay rounded nga numero tapno maala iti napatta a sungbat.","the first thing to do is round off the factors with the highest cantidad, calpasanna, multiply the rounded number to get the speculated answer"
"ti maikadua a solusion, no alaem met iti umno a product wenno actual product; i-multiply mo ni multiplicand kenni multiplier tapno maala iti husto ken actual a sungbat.","the second solution, if you also take the right product or actual product; Multiply multiplicand to the multiplier to get the right and actual answer."
ti umuna nga aramiden ket i-multiply nga umuna iti place value iti sagmamaysa.,first thing to do is multiply the first place value one by one
ti sumaruno nga mai-multiply ket ti place value iti pullo.,next to multiply is the place value of the part
"usaren iti kapanunotan, pagtipunin ti sungbat.","use the mind, gather answer"
"tapno maammuan ti solusion tunggal paset,amirisen a masapulan ti pakailawlawagan,usaren dagiti sumaganad a dalan ti pannaka iwanwan","to find the solution to each part,to realize that the explanation is required,the following paths of guidance are used"
makabasa ti 75 a panid ti paggusgustona a pocket book ni ador iti maysa nga aldaw.,ador can read 75 pages in a day of his favorite pocket book
nakalako dagiti tallo nga aglaklako ti babassit a banderitas ti balor php 5 ti maysa idiay luneta park idi selebrasyon iti independence day.,the three sellers of baderitas sold one for php 5 at luneta park during the celebration of the independece day
